"","ALKEM.NS.Open","ALKEM.NS.High","ALKEM.NS.Low","ALKEM.NS.Close","ALKEM.NS.Volume","ALKEM.NS.Adjusted"
"1",2201,2257.80004882812,2187.5,2225.94995117188,30620,2098.6328125
"2",2220.30004882812,2225,2181,2200.10009765625,11674,2074.26098632812
"3",2210,2224.10009765625,2187.10009765625,2213.05004882812,17756,2086.46997070312
"4",2215,2221.64990234375,2190,2217.05004882812,189021,2090.24194335938
"5",2235,2235,2192,2220.30004882812,15305,2093.30590820312
"6",2250,2253,2199,2218,36617,2091.13745117188
"7",2210,2229,2204.5,2222.10009765625,8799,2095.00317382812
"8",2215,2469,2208,2323.60009765625,253512,2190.69775390625
"9",2290.05004882812,2315,2264,2287.25,35720,2156.4267578125
"10",2275,2288,2230.60009765625,2258.85009765625,20768,2129.65087890625
"11",2269,2319,2235.10009765625,2299.85009765625,20876,2168.30590820312
"12",2292,2305,2248.30004882812,2276.5,19693,2146.29150390625
"13",2245,2276.5,2241,2255.75,9667,2126.72802734375
"14",2242,2268,2225,2249.10009765625,15260,2120.45849609375
"15",2225,2261.05004882812,2180.05004882812,2218.94995117188,19924,2092.03295898438
"16",2279.89990234375,2279.89990234375,2224.75,2242.94995117188,45452,2114.66040039062
"17",2230.5,2250.05004882812,2200,2225.25,9831,2097.97290039062
"18",2220,2237.60009765625,2175.05004882812,2199.10009765625,75760,2073.318359375
"19",2200,2240,2168.85009765625,2202.25,64212,2076.28833007812
"20",2176.60009765625,2250,2175,2241.10009765625,12400,2112.91625976562
"21",2241,2250,2200,2233,29875,2105.27905273438
"22",2188.30004882812,2229.94995117188,2188,2198.75,18474,2072.98828125
"23",2200,2239,2165,2229.85009765625,11453,2102.30932617188
"24",2185.25,2206.64990234375,2168,2195,13765,2069.45336914062
"25",2165,2219,2029.75,2166.80004882812,32204,2042.8662109375
"26",2022,2168,2022,2144.94995117188,10556,2022.265625
"27",2115.14990234375,2179.75,2115.14990234375,2160.25,8254,2036.69018554688
"28",2160,2190,2145,2175.19995117188,8006,2050.78540039062
"29",2178.19995117188,2205.89990234375,2080.64990234375,2179.19995117188,43117,2054.55688476562
"30",2160,2200,2145,2181.55004882812,51852,2056.77221679688
"31",2180,2200.05004882812,2135.80004882812,2153.80004882812,18083,2030.60974121094
"32",2153.85009765625,2175,2117.94995117188,2132.39990234375,13062,2010.43347167969
"33",2127.85009765625,2185,2115.10009765625,2164.39990234375,14370,2046.36083984375
"34",2135,2177.94995117188,2125,2158.64990234375,5012,2040.92443847656
"35",2158.64990234375,2184,2140.75,2171,53779,2052.60131835938
"36",2149,2168.94995117188,2140,2152.94995117188,6108,2035.53540039062
"37",2158.64990234375,2180,2148.05004882812,2174.80004882812,7202,2056.19409179688
"38",2174.69995117188,2202.10009765625,2151.10009765625,2181.30004882812,28548,2062.33935546875
"39",2200,2225,2184.05004882812,2202.30004882812,21834,2082.19409179688
"40",2211.5,2244.69995117188,2210,2230.35009765625,21595,2108.71411132812
"41",2228.69995117188,2230.94995117188,2211,2226.30004882812,13065,2104.88525390625
"42",2230.94995117188,2230.94995117188,2215.05004882812,2224.94995117188,4706,2103.60913085938
"43",2208.55004882812,2229.94995117188,2200.14990234375,2221.55004882812,33358,2100.39428710938
"44",2225,2272.5,2215,2260.14990234375,26947,2136.88916015625
"45",2231,2260,2170.05004882812,2214.85009765625,13057,2094.06005859375
"46",2219,2250,2216,2236.80004882812,7855,2114.81274414062
"47",2236,2245,2213,2216.85009765625,10855,2095.95092773438
"48",2240,2240,2190,2204.19995117188,33852,2083.9912109375
"49",2200.19995117188,2213.94995117188,2194.94995117188,2197.10009765625,20999,2077.27783203125
"50",2200,2225,2178,2196.69995117188,16194,2076.8994140625
"51",2198.94995117188,2230,2180,2206.19995117188,27746,2085.88110351562
"52",2214.94995117188,2221.44995117188,2101.44995117188,2158.19995117188,59178,2040.49914550781
"53",2170,2179.89990234375,2115,2141.35009765625,28017,2024.56860351562
"54",2134.94995117188,2144.94995117188,2090.10009765625,2104.10009765625,8004,1989.34985351562
"55",2124,2150,2102.30004882812,2124.64990234375,10609,2008.77917480469
"56",2129,2149,2107.05004882812,2115.05004882812,15701,1999.70251464844
"57",2085,2115,2055.44995117188,2087.35009765625,8529,1973.51293945312
"58",2088,2093.64990234375,2036,2063.5,12575,1950.96398925781
"59",2090,2112,2063.55004882812,2093.60009765625,18472,1979.42272949219
"60",2081,2102.30004882812,1850.05004882812,1988.34997558594,457372,1879.91223144531
"61",1988.34997558594,1988.34997558594,1907.65002441406,1919.44995117188,42000,1814.76977539062
"62",1919,1920,1890.05004882812,1906.90002441406,35471,1802.90417480469
"63",1924.80004882812,1926.90002441406,1885,1892.59997558594,16191,1789.38427734375
"64",1913.94995117188,1913.94995117188,1850.09997558594,1854.09997558594,50574,1752.98388671875
"65",1870,1881.84997558594,1826.09997558594,1835.90002441406,36865,1735.77648925781
"66",1844.90002441406,1872.5,1837.94995117188,1854.94995117188,110880,1753.78747558594
"67",1871.90002441406,1871.90002441406,1810.09997558594,1815.55004882812,29669,1716.53625488281
"68",1825,1832.5,1766,1770.94995117188,150799,1674.36853027344
"69",1766,1769,1746.09997558594,1758.40002441406,126405,1662.50305175781
"70",1755.05004882812,1792.75,1726,1784.15002441406,23775,1686.84875488281
"71",1784,1793.25,1754,1763.25,26212,1667.08837890625
"72",1780.90002441406,1780.90002441406,1740,1745.44995117188,30717,1650.25915527344
"73",1750,1800,1735.05004882812,1779.25,33063,1682.21594238281
"74",1758,1800,1758,1797.5,42299,1699.470703125
"75",1803.59997558594,1810,1762.09997558594,1783.34997558594,64941,1686.09216308594
"76",1775,1850,1775,1831.69995117188,39257,1731.80541992188
"77",1840,1945,1840,1924.59997558594,175410,1819.63891601562
"78",1918.5,1978.05004882812,1900,1934.69995117188,48624,1829.18811035156
"79",1934,1949.90002441406,1905.09997558594,1919.94995117188,12581,1815.24243164062
"80",1920.25,1977,1901,1969.05004882812,22494,1861.66479492188
"81",1975,1994,1952.15002441406,1976.34997558594,12293,1868.56652832031
"82",1971,2050,1956.05004882812,2023.40002441406,47257,1913.05090332031
"83",2022.90002441406,2049.89990234375,1972.80004882812,2030.44995117188,24870,1919.71643066406
"84",2040,2065.85009765625,1992,2018.25,65020,1908.18188476562
"85",2029,2029,1955.15002441406,1990.84997558594,35052,1882.27587890625
"86",1993.09997558594,2025,1961.05004882812,2019,18793,1908.890625
"87",2019,2035,1982.05004882812,2024.5,62178,1914.09069824219
"88",2024.55004882812,2039.94995117188,2004,2024.55004882812,13410,1914.13818359375
"89",2032.94995117188,2032.94995117188,1960,2005.84997558594,21707,1896.45788574219
"90",2000,2010,1965.09997558594,1978.34997558594,14706,1870.45751953125
"91",1993.90002441406,2018,1962,1997.94995117188,14433,1888.98840332031
"92",1979,2050,1975,2036.59997558594,14743,1925.53100585938
"93",2036.65002441406,2036.65002441406,1992,2005.75,19873,1896.36328125
"94",2005,2010,1955,1970.75,14783,1863.27197265625
"95",1970.94995117188,1978,1926.55004882812,1940.94995117188,7630,1835.09704589844
"96",1940.5,1952.94995117188,1888,1920.19995117188,13840,1815.47875976562
"97",1921,1973.65002441406,1904.55004882812,1965.34997558594,50284,1858.16650390625
"98",1956.75,1971.44995117188,1926,1957.55004882812,13156,1850.79211425781
"99",1958,1998,1945,1955.94995117188,12355,1849.27941894531
"100",1962.80004882812,2049,1957,2030.90002441406,16264,1920.14184570312
"101",2021.84997558594,2055.5,1994,2048,12811,1936.30920410156
"102",2049,2069.19995117188,1927.75,1983.19995117188,113343,1875.04321289062
"103",1985,1985,1903.05004882812,1916.84997558594,32983,1812.31176757812
"104",1917,1947.84997558594,1909.44995117188,1931.80004882812,24392,1826.4462890625
"105",1926,1960,1920.34997558594,1934.05004882812,18373,1828.57360839844
"106",1928.5,1940,1887.94995117188,1908.40002441406,40530,1804.32250976562
"107",1915,1954.94995117188,1902,1946.40002441406,10912,1840.25012207031
"108",1950,1973.69995117188,1950,1962.90002441406,27212,1855.85046386719
"109",1946,1963,1946,1953.34997558594,11325,1846.82116699219
"110",1957.19995117188,1981.94995117188,1955,1973.94995117188,15204,1866.29760742188
"111",1980,2032.94995117188,1961,1982.94995117188,15392,1874.806640625
"112",1972,2015,1969.84997558594,2007.94995117188,13184,1898.44323730469
"113",2017.90002441406,2019.90002441406,1980,1990.80004882812,10604,1882.228515625
"114",2000.69995117188,2008.30004882812,1943,1955.5,73836,1848.85363769531
"115",1966,1985,1948.09997558594,1951.44995117188,11939,1845.02453613281
"116",1974.25,1974.25,1945,1957.34997558594,33874,1850.60314941406
"117",1967.09997558594,1974.44995117188,1950.59997558594,1959,8860,1852.1630859375
"118",1968.80004882812,1976.15002441406,1945.05004882812,1952.5,9075,1846.01721191406
