"","APOLLOHOSP.NS.Open","APOLLOHOSP.NS.High","APOLLOHOSP.NS.Low","APOLLOHOSP.NS.Close","APOLLOHOSP.NS.Volume","APOLLOHOSP.NS.Adjusted"
"1",1216,1216,1199.09997558594,1202.55004882812,117565,1175.47729492188
"2",1205,1212,1186.5,1191.94995117188,211424,1165.11596679688
"3",1195,1203.94995117188,1173,1176.5,261936,1150.01391601562
"4",1185,1188.44995117188,1156.75,1160.09997558594,263585,1133.98303222656
"5",1168,1199,1160,1196.30004882812,232491,1169.36804199219
"6",1192,1209,1175.09997558594,1180.69995117188,505510,1154.11926269531
"7",1189,1190.75,1170,1172.34997558594,125593,1145.95715332031
"8",1174,1180,1158.90002441406,1172.15002441406,136692,1145.76184082031
"9",1175.75,1194,1170,1172.40002441406,243414,1146.00622558594
"10",1178.44995117188,1182.65002441406,1160,1163.34997558594,145921,1137.15979003906
"11",1175.80004882812,1182.34997558594,1167.84997558594,1179.44995117188,155322,1152.8974609375
"12",1184,1184,1138.65002441406,1147.19995117188,161108,1121.37341308594
"13",1140,1143.30004882812,1118.34997558594,1125.69995117188,219833,1100.35754394531
"14",1132,1134.5,1106.05004882812,1116.44995117188,187463,1091.31567382812
"15",1116,1144,1115.90002441406,1139.40002441406,152932,1113.74914550781
"16",1148,1172,1141.94995117188,1168.80004882812,246204,1142.4873046875
"17",1173,1175,1142.05004882812,1146.5,229030,1120.68920898438
"18",1146.5,1152.19995117188,1105.90002441406,1110.80004882812,791316,1085.79284667969
"19",1117,1138.5,1108,1133.69995117188,327271,1108.17712402344
"20",1144,1148,1127,1138.69995117188,255731,1113.06469726562
"21",1136,1148.94995117188,1119,1140.05004882812,158413,1114.38452148438
"22",1135,1173.84997558594,1135,1162.80004882812,495268,1136.62255859375
"23",1165,1224.55004882812,1160.30004882812,1218.55004882812,1036405,1191.11730957031
"24",1209.94995117188,1209.94995117188,1140,1156.94995117188,435779,1130.90368652344
"25",1144.5,1160.80004882812,1125.84997558594,1129.55004882812,276192,1104.12097167969
"26",1114,1158.40002441406,1086.34997558594,1140.90002441406,747984,1115.21520996094
"27",1159.69995117188,1159.69995117188,1121.90002441406,1132.69995117188,368495,1107.19982910156
"28",1132,1157.05004882812,1115.80004882812,1131.80004882812,355444,1106.32019042969
"29",1110,1132.25,1108.05004882812,1122.69995117188,236165,1097.42504882812
"30",1122,1165,1120.05004882812,1151.55004882812,580640,1125.62561035156
"31",1160,1200,1160,1191.80004882812,287229,1164.96936035156
"32",1191.80004882812,1215.90002441406,1160.55004882812,1207.94995117188,472687,1180.755859375
"33",1235,1244.19995117188,1122,1141.84997558594,1146020,1116.14404296875
"34",1152,1194.80004882812,1148,1186.19995117188,1171614,1159.49560546875
"35",1180,1215.94995117188,1179.94995117188,1199.25,750134,1172.25183105469
"36",1192,1219,1176,1211.19995117188,640761,1183.93286132812
"37",1195,1250,1195,1246.44995117188,551254,1218.38891601562
"38",1245,1245,1218.55004882812,1231.59997558594,361498,1203.87365722656
"39",1235,1263.40002441406,1226.59997558594,1235.55004882812,484408,1207.73449707031
"40",1246.69995117188,1246.69995117188,1192.69995117188,1196.69995117188,289501,1169.75915527344
"41",1190.19995117188,1209.09997558594,1180.34997558594,1203.05004882812,438159,1175.96618652344
"42",1200.5,1210,1180.75,1183.5,166112,1156.85632324219
"43",1184.65002441406,1196.59997558594,1161.65002441406,1167.90002441406,169347,1141.60766601562
"44",1170.09997558594,1189,1145,1160.80004882812,302547,1134.66723632812
"45",1165.69995117188,1183,1135.25,1152.34997558594,498463,1126.40747070312
"46",1150,1172.40002441406,1143.44995117188,1162.69995117188,204357,1136.5244140625
"47",1173.69995117188,1173.69995117188,1145.80004882812,1149.05004882812,294431,1123.18188476562
"48",1152,1153.40002441406,1114.19995117188,1129.65002441406,278157,1104.21850585938
"49",1130,1130.5,1090,1095.90002441406,386569,1071.22827148438
"50",1087.69995117188,1095.80004882812,1082.94995117188,1090.15002441406,393419,1065.60778808594
"51",1092,1115.5,1087.59997558594,1096,186303,1071.32604980469
"52",1094.94995117188,1096.25,1065,1071.65002441406,384296,1047.52453613281
"53",1073,1080.40002441406,1037.19995117188,1056.19995117188,357297,1032.42224121094
"54",1056,1059.69995117188,1041.09997558594,1042.80004882812,545440,1019.32373046875
"55",1049,1080,1026,1028.44995117188,261715,1005.29675292969
"56",1028,1033.5,1013.29998779297,1022.29998779297,370697,999.285278320312
"57",1011.65002441406,1016.04998779297,1003,1008.34997558594,209179,985.649353027344
"58",1009,1018.65002441406,993.400024414062,1005.04998779297,184658,982.423583984375
"59",1008.20001220703,1042.34997558594,1008.04998779297,1029.84997558594,384056,1006.66540527344
"60",1030,1071.09997558594,1020,1064.65002441406,677515,1040.68212890625
"61",1066,1104.94995117188,1056,1098.19995117188,277903,1073.4765625
"62",1092,1125,1084,1095.84997558594,327389,1071.17944335938
"63",1095.84997558594,1104.05004882812,1061,1066.94995117188,622425,1042.93005371094
"64",1075,1091.59997558594,1075,1083.69995117188,231441,1059.30297851562
"65",1085.75,1101,1071.59997558594,1076.30004882812,215531,1052.06970214844
"66",1098,1098,1056,1061.09997558594,276142,1037.2119140625
"67",1070,1098,1051.59997558594,1086.30004882812,344748,1061.84460449219
"68",1097.69995117188,1118.55004882812,1086.69995117188,1109.55004882812,496196,1084.5712890625
"69",1115,1118.65002441406,1071.44995117188,1076,344451,1051.7763671875
