"","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
"1",1759.5,1760,1720.40002441406,1725.65002441406,535319,1691.03833007812
"2",1739.69995117188,1739.69995117188,1710,1724.65002441406,576208,1690.05847167969
"3",1727,1738.34997558594,1711,1715.30004882812,416136,1680.89587402344
"4",1725,1758.25,1714,1754,730147,1718.81958007812
"5",1766,1821,1759.09997558594,1814.5,984327,1778.10632324219
"6",1820,1843,1820,1836.84997558594,825022,1800.00793457031
"7",1843,1843,1810,1819.5,512721,1783.00598144531
"8",1820,1820.94995117188,1794,1802.19995117188,406791,1766.05285644531
"9",1798,1798,1773.05004882812,1780.34997558594,818471,1744.64111328125
"10",1783,1790.90002441406,1751.15002441406,1770.09997558594,606316,1734.59680175781
"11",1771,1794.90002441406,1733,1738.15002441406,847037,1703.28759765625
"12",1745.80004882812,1745.80004882812,1684.59997558594,1687.34997558594,1076581,1653.50634765625
"13",1695.09997558594,1709.84997558594,1665.69995117188,1701.19995117188,1199501,1667.07861328125
"14",1712,1717.25,1654,1660.69995117188,961692,1627.39086914062
"15",1660.90002441406,1711.25,1632.59997558594,1701.90002441406,974597,1667.7646484375
"16",1714,1726,1678,1706.34997558594,924498,1672.12524414062
"17",1710,1718,1692.40002441406,1708.69995117188,1245493,1674.42822265625
"18",1715,1746.84997558594,1697.05004882812,1739.15002441406,1441313,1704.26745605469
"19",1741,1741.90002441406,1703.40002441406,1710.30004882812,880891,1675.99609375
"20",1711,1735.25,1710,1715.30004882812,643137,1680.89587402344
"21",1715,1718.94995117188,1671,1678.40002441406,680104,1644.73596191406
"22",1657.44995117188,1690,1645,1677.84997558594,1332225,1644.19714355469
"23",1681.80004882812,1760,1644.75,1729.44995117188,1939812,1694.76196289062
"24",1708.05004882812,1713,1620.19995117188,1628.90002441406,1645045,1596.22888183594
"25",1600,1627.94995117188,1546.5,1604.94995117188,1472164,1572.75915527344
"26",1530,1683.75,1511.19995117188,1662.15002441406,2109416,1628.81188964844
"27",1680,1687,1620.59997558594,1641.65002441406,1466983,1608.72290039062
"28",1654,1679,1638.05004882812,1662.15002441406,750746,1628.81188964844
"29",1629.05004882812,1655,1617.30004882812,1639.40002441406,703720,1606.51831054688
"30",1645,1656,1635.30004882812,1643.80004882812,472115,1610.82995605469
"31",1654,1696.94995117188,1651.55004882812,1669.94995117188,1066036,1636.45556640625
"32",1678.80004882812,1711.84997558594,1601.80004882812,1677.05004882812,1177116,1643.4130859375
"33",1690,1703.94995117188,1671.55004882812,1675.25,947685,1641.64916992188
"34",1675,1675,1623.55004882812,1642.69995117188,695310,1609.751953125
"35",1654.84997558594,1657.69995117188,1626,1638.75,583955,1605.88122558594
"36",1658,1658,1587.30004882812,1596.44995117188,1689744,1564.42956542969
"37",1588,1617.5,1576.44995117188,1600.34997558594,1050625,1568.25134277344
"38",1606.80004882812,1638,1602.34997558594,1633.40002441406,711474,1600.63854980469
"39",1640,1679.80004882812,1636.5,1674.94995117188,1036659,1641.35510253906
"40",1676,1679.94995117188,1651,1656.80004882812,605244,1623.56921386719
"41",1644,1659.59997558594,1629,1640.25,1756349,1607.35119628906
"42",1635,1666,1628,1659.34997558594,1238390,1626.06811523438
"43",1660,1660,1621,1636.94995117188,743779,1604.1171875
"44",1655,1671.84997558594,1627.59997558594,1637.75,944176,1604.90124511719
"45",1641,1648.65002441406,1606,1618.34997558594,644577,1585.89038085938
"46",1634.94995117188,1637.90002441406,1594.19995117188,1628.05004882812,663196,1595.39599609375
"47",1635,1667.19995117188,1616.44995117188,1654.19995117188,839718,1621.02136230469
"48",1663,1681.90002441406,1655.05004882812,1665.25,486187,1631.849609375
"49",1665.5,1698.84997558594,1663.59997558594,1680.69995117188,820802,1646.98974609375
"50",1672,1720.90002441406,1668.25,1710.09997558594,848659,1675.80004882812
"51",1715.09997558594,1739.90002441406,1714,1726.25,739187,1691.62622070312
"52",1712,1724.65002441406,1681.05004882812,1687.90002441406,1017699,1654.04528808594
"53",1698.90002441406,1698.90002441406,1627,1631.84997558594,848984,1599.11962890625
"54",1627,1663.09997558594,1615.19995117188,1657.30004882812,1318758,1624.05932617188
"55",1674.5,1712,1665.5,1704.55004882812,1131098,1670.36157226562
"56",1708,1720,1690.15002441406,1695.59997558594,1153716,1661.59094238281
"57",1655,1695,1655,1685.30004882812,1088426,1651.49755859375
