,BEL.NS.Open,BEL.NS.High,BEL.NS.Low,BEL.NS.Close,BEL.NS.Volume,BEL.NS.Adjusted
1,61,61.29999924,60.40000153,60.48333359,8166816,52.22705078
2,60.83333206,61.21666718,60.25,60.54999924,11789442,52.28460312
3,60.66666412,61.20000076,60.26666641,60.33333206,8387208,52.09751129
4,60.36666489,60.6333313,59.90000153,60.01666641,13893633,51.82407761
5,60.33333206,61.16666412,60.26666641,60.76666641,10396050,52.47169495
6,61.18333435,61.73333359,60.90000153,61.34999847,12205740,52.97540665
7,61.66666412,61.66666412,60.78333282,60.84999847,7031151,52.5436554
8,60.8833313,61.25,59.73333359,59.98333359,11870301,51.7952919
9,60.03333282,60.33333206,59.5,59.66666412,11858856,51.5218544
10,59.93333435,60.03333282,58.68333435,59.33333206,9999291,51.23402023
11,59.5,60,59.26666641,59.53333282,8986140,51.40672302
12,59.5,59.59999847,57.53333282,57.73333359,13604358,49.85242462
13,57.66666412,58.93333435,55.66666412,58.68333435,14795268,50.67274857
14,58.73333359,59.29999924,56.34999847,57.03333282,9535365,49.24798203
15,57.25,57.79999924,56.70000076,57.58333206,5545041,49.72290039
16,57.79999924,58.6333313,57.45000076,58.46666718,7885137,50.48566437
17,58.66666412,59.04999924,57.93333435,58.23333359,13850478,50.28417206
18,58.26666641,58.29999924,57.45000076,57.84999847,10449144,49.95317078
19,59.43333435,59.83333206,58.46666718,58.96666718,45728052,50.9174118
20,59.5,59.56666565,58.16666412,58.54999924,10870470,50.55761719
21,58.98333359,59.31666565,58.33333206,59,10192740,50.94618225
22,57.08333206,57.33333206,55.83333206,56.45000076,43235283,48.74428558
23,56.66666412,57.06666565,53.70000076,53.84999847,41361114,46.49918747
24,53.81666565,53.83333206,50.06666565,50.61666489,39743727,43.70722198
25,50,50.59999847,48.79999924,50,57654582,43.17473984
26,46.66666412,50.09999847,46.66666412,49.73333359,41933931,42.94446945
27,51.08333206,53.20000076,50.86666489,52.61666489,53579583,45.43421555
28,52.91666412,52.91666412,51.5,52.31666565,21077784,45.63776398
29,51,52.59999847,51,52.09999847,8938587,45.44875336
30,52.66666412,52.70000076,51.91666412,52.58333206,6431490,45.87037659
31,53.29999924,54.21666718,52.93333435,53.53333282,15063036,46.69910049
32,53.75,54.04999924,52.06666565,52.31666565,10960020,45.63776398
33,52.76666641,52.76666641,51.21666718,51.90000153,7547409,45.27428818
34,52,52,50.41666412,51.06666565,10100100,44.54733276
35,51.03333282,51.40000153,50.66666412,51.25,8543745,44.70727158
36,51.28333282,51.58333206,50.01666641,50.28333282,11911635,43.86400223
37,50.08333206,50.41666412,48.45000076,48.84999847,24507504,42.61364746
38,49.61666489,50.56666565,48.79999924,50.31666565,34034544,43.89308548
39,50.98333359,52.25,50.76666641,51.73333359,19477392,45.12889481
40,52.16666412,52.26666641,50.73333359,50.95000076,10397679,44.44556427
41,50.83333206,51.73333359,50.3833313,51.45000076,6432813,44.88173294
42,51.61666489,51.65000153,51.03333282,51.09999847,4595199,44.57641602
43,50.96666718,52.40000153,50.46666718,51.84999847,9187710,45.2306633
44,52.48333359,52.65000153,50.3833313,50.66666412,10445304,44.19839478
45,50.5,50.53333282,49.04999924,49.45000076,7936389,43.13705826
46,50.26666641,50.26666641,48.33333206,49.08333206,9916260,42.81720352
47,49.58333206,50.45000076,49.11666489,49.48333359,9234141,43.16614151
48,49.91666412,50.28333282,49.21666718,50.04999924,14156727,43.66046143
49,50,50.73333359,49.86666489,50.51666641,12466362,44.06755447
50,50.06666565,50.58333206,49.73333359,50.3833313,6788655,43.95124817
51,50.34999847,51.43333435,50,50.43333435,9095664,43.99485779
52,50.5,51.1333313,49.53333282,49.73333359,10796703,43.38422394
53,49.76666641,49.90000153,48.83333206,49.51666641,6301965,43.19521332
54,49.16666412,50.04999924,49.06666565,49.83333206,6695130,43.47145081
55,50,50.66666412,49.33333206,49.45000076,7860561,43.13705826
56,49.59999847,49.71666718,47.5,47.79999924,19364409,41.6977005
57,46.96666718,47.04999924,46.01666641,46.65000153,24617190,40.69451523
58,46.65000153,48.33333206,46.56666565,47.65000153,14150625,41.5668602
59,48.01666641,48.16666412,47.5,47.68333435,8877729,41.59592819
60,47.48333359,48.59999847,46.90000153,47.15000153,23399328,41.1306839
61,47.59999847,48.45000076,47.36666489,48.25,7534800,42.09024811
62,48.29999924,49.11666489,47.91666412,48.91666412,9860166,42.67181396
63,49.09999847,49.58333206,47.66666412,47.91666412,11741064,41.79947281
64,48.33333206,48.73333359,47.8833313,48.34999847,10456299,42.17749023
65,48.34999847,48.79999924,47.84999847,48.26666641,5684175,42.10480118
66,48.33333206,48.51666641,47.91666412,48.20000076,7065069,42.0466423
67,48.33333206,48.98333359,48.21666718,48.5,6792945,42.30833817
68,48.66666412,48.76666641,48.16666412,48.29999924,5636949,42.13387299
69,48.83333206,49.71666718,48.6333313,49.09999847,13782747,42.8317337
70,49.03333282,49.23333359,47.36666489,47.5,14176671,41.43600464
71,47.70000076,47.73333359,46.23333359,46.34999847,17572878,40.43281555
72,46.66666412,46.95000076,45.95000076,46.31666565,10461405,40.40373611
73,46.6333313,46.83333206,46.09999847,46.23333359,13714419,40.33103943
74,46,46.03333282,45.08333206,45.3833313,15710562,39.58955383
75,44.65000153,44.78333282,43.5,44.09999847,24909216,38.470047
76,44.15000153,46.29999924,44.15000153,45.75,26176191,39.9094162
77,46.03333282,46.18333435,45.09999847,45.26666641,9272688,39.48778152
78,45.26666641,45.26666641,43.93333435,44.26666641,8935848,38.61544037
79,44.29999924,44.48333359,43.53333282,43.68333435,15748587,38.10659027
80,43.76666641,44.90000153,43.66666412,44.40000153,13382757,38.73176193
81,43.84999847,44.31666565,43.59999847,43.73333359,13847460,38.15019989
82,44,44.08333206,43.26666641,43.43333435,9106338,37.88850021
83,43.33333206,43.48333359,42.29999924,42.96666718,14574378,37.48141098
84,43.21666718,44.09999847,43,43.20000076,7078263,37.6849556
85,43.29999924,43.98333359,42.78333282,43.76666641,7313223,38.17927933
86,43.96666718,44.28333282,43.73333359,43.96666718,8788539,38.35374451
87,43.93333435,44.25,43.83333206,44.11666489,6669102,38.48459625
88,44.1333313,44.26666641,43.11666489,43.26666641,6999927,37.74311066
89,43.33333206,43.53333282,42.5,42.61666489,7212126,37.17608643
90,42.83333206,42.83333206,41.46666718,41.91666412,9882675,36.56544876
91,41.36666489,42.61666489,39.76666641,40.06666565,37511736,34.95162964
92,39.83333206,41.09999847,37.46666718,40.54999924,28314477,35.3732605
93,40.59999847,42.25,39.51666641,41.79999924,22246566,36.46368408
94,41.56666565,42.16666412,40.33333206,40.48333359,11526891,35.31510162
95,40,40.5,38.91666412,39.09999847,9176997,34.10837936
96,38.66666412,39.81666565,38.26666641,39.03333282,16655865,34.05021286
97,38.95000076,39.56666565,38.70000076,38.93333435,8386623,33.96298218
98,39.04999924,39.23333359,38.3833313,38.68333435,7425024,33.74489594
99,38.79999924,39.73333359,38.51666641,39.48333359,8685510,34.4427681
100,39.66666412,41.79999924,39.58333206,41.20000076,21852888,35.94028091
101,41.16666412,41.51666641,40.66666412,40.93333435,13140726,35.70765686
102,39.46666718,40.06666565,38.90000153,39.81666565,25204605,34.73353958
103,39.96666718,39.96666718,37.95000076,38.1333313,27125460,33.26511002
104,38,38.56666565,36.73333359,37.1333313,20689938,32.39277649
105,37.33333206,38.1333313,36.66666412,37.36666489,24504603,32.59632111
106,37.3833313,38.11666489,37,37.66666412,17626572,32.85802078
107,37.66666412,38.96666718,37.58333206,38.73333359,19982229,33.78852081
108,39.90000153,40.75,38.75,40.56666565,32471313,35.38779449
109,39.83333206,40.21666718,39.33333206,39.51666641,10464249,34.47184753
110,39.43333435,40.40000153,39.43333435,39.65000153,6191661,34.58815765
111,39.59999847,40.61666489,39.5,40.46666718,10322559,35.30056381
112,40.66666412,40.75,39.5,39.73333359,8779887,34.66085052
113,39.58333206,39.65000153,38.48333359,38.71666718,11821971,33.77397537
114,38.83333206,39.70000076,38.46666718,38.95000076,21030120,33.97751999
115,38.98333359,39.1333313,37.79999924,38.09999847,9619353,33.23604202
116,37.98333359,38.40000153,37.58333206,37.81666565,10429416,32.98886871
117,37.73333359,38.06666565,37.03333282,37.25,10259367,32.4945488
118,37.46666718,37.46666718,36.01666641,36.45000076,16149600,31.79668236
119,36.43333435,36.76666641,35.73333359,36.56666565,17661147,31.89845657
