,BHARTIARTL.NS.Open,BHARTIARTL.NS.High,BHARTIARTL.NS.Low,BHARTIARTL.NS.Close,BHARTIARTL.NS.Volume,BHARTIARTL.NS.Adjusted
1,478.5675964,484.9665222,473.5205688,475.7737122,4807939,457.3649292
2,480.2799988,480.2799988,461.3085327,465.5444336,5242199,447.5314026
3,467.8876953,473.6106873,463.9221802,467.0315247,6333269,448.960968
4,467.752533,475.1428223,463.6968689,471.3575439,5953924,453.1195984
5,473.1600647,488.9320679,467.3469543,486.6789246,8008838,467.8482056
6,481.4065552,481.4065552,463.4264832,465.3641968,12287843,447.3581543
7,466.8512573,469.6000977,454.8645325,459.460968,7541257,441.6833191
8,464.1474915,466.4006348,454.5040283,456.3966675,6667296,438.7376404
9,457.8386841,465.6796265,453.5126648,463.9221802,5905519,445.9719849
10,465.0487366,466.2654419,454.6842957,459.2356262,4847824,441.4667358
11,459.460968,461.3986511,452.8367004,454.6842957,2834570,437.0915222
12,457.8386841,462.9307861,442.8778076,448.150177,6420450,430.8101807
13,446.122345,453.5126648,442.9228821,450.5385132,6824337,433.1061401
14,451.5298767,458.5596924,444.3198242,446.122345,7912892,428.8608398
15,436.2085266,450.8539429,435.7578735,448.7359924,9966300,431.3733521
16,446.6630859,449.2767334,439.8135376,442.2469482,4532165,425.1353455
17,445.2210999,449.5471191,440.5345459,443.5086975,6150836,426.3482971
18,438.8221741,438.9122925,410.2072449,414.1277161,29348889,398.1041565
19,417.7327271,417.7327271,400.5637817,407.999176,20580178,392.2127075
20,400.1582336,402.321228,392.09198,397.0939636,27139736,381.7294922
21,397.0939636,406.5571594,394.0747375,397.0939636,10679523,384.2059937
22,398.8063354,401.9607544,393.3086548,396.4179993,7069368,383.5519409
23,396.5982666,402.8619995,387.6307373,395.1111755,8096718,382.2875061
24,394.5704346,397.0038147,374.7427673,380.6459961,6668088,368.2918396
25,376.5002136,402.6366882,370.5969849,396.7334595,15080352,383.8571472
26,378.5280457,403.5379333,377.2212219,395.7871399,9331070,382.9415588
27,401.0144348,405.0250244,384.9269714,387.7659302,10982569,375.1806946
28,391.1456604,392.9481812,383.0343323,387.3603821,6173490,374.7882996
29,382.1330872,391.1005859,378.2576599,380.781189,5393964,368.4226379
30,387.3603821,388.4418945,379.744751,382.4935913,3987231,370.0794678
31,384.2059631,395.2013245,384.2059631,391.8666687,10468199,379.1483459
32,395.9223022,395.9223022,384.5664673,386.5942993,4583095,374.0470581
33,392.0018616,392.0018616,377.0860291,378.2576599,4403814,365.9810181
34,378.3928528,378.5280457,363.3869324,373.4359436,6457099,361.3157959
35,374.1118774,380.5108032,374.1118774,376.8156738,8022411,364.5858154
36,378.5280457,380.781189,376.1397095,378.212616,4731875,365.9374084
37,377.4465332,377.8521118,372.5346985,375.0131531,10769504,362.8417969
38,377.6268005,385.9183655,375.9143982,383.5300293,7504250,371.0822754
