"","DEEPAKNTR.NS.Open","DEEPAKNTR.NS.High","DEEPAKNTR.NS.Low","DEEPAKNTR.NS.Close","DEEPAKNTR.NS.Volume","DEEPAKNTR.NS.Adjusted"
"1",233.300003051758,235,229.5,230.25,247169,222.729751586914
"2",231.649993896484,239.899993896484,226.75,232.850006103516,497481,225.244842529297
"3",233.949996948242,236.899993896484,231.75,233.449996948242,275039,225.825241088867
"4",235.449996948242,238.699996948242,231,234.5,301414,226.840957641602
"5",238.350006103516,244.899993896484,235.949996948242,242.800003051758,453208,234.869888305664
"6",245,288.700012207031,245,275.299987792969,3564877,266.308319091797
"7",280,295,270,273.549987792969,3379684,264.615478515625
"8",275.950012207031,281.799987792969,260,265.549987792969,1101485,256.876800537109
"9",266.350006103516,274.950012207031,263.200012207031,270.149993896484,899854,261.326568603516
"10",276,279.399993896484,266.399993896484,269.450012207031,762435,260.649444580078
"11",270.100006103516,283.5,270.100006103516,281.899993896484,1310984,272.692840576172
"12",283.899993896484,288.5,277.75,283.950012207031,1138173,274.675903320312
"13",283,289.899993896484,270.600006103516,286.450012207031,931432,277.09423828125
"14",288.899993896484,293,278,282.399993896484,983109,273.176483154297
"15",287.5,292.350006103516,278.200012207031,282.450012207031,1346675,273.224853515625
"16",283,292,281.200012207031,290,518901,280.528259277344
"17",293,298,283.399993896484,285.950012207031,762341,276.610534667969
"18",284,288.5,277,284.200012207031,367657,274.917694091797
"19",285.899993896484,296.5,280.799987792969,291.450012207031,432440,281.930877685547
"20",291.5,294.649993896484,275,276.799987792969,461686,267.759368896484
"21",276.700012207031,277.950012207031,270.399993896484,276.75,198891,267.710998535156
"22",280,284,274.25,278.100006103516,244309,269.016906738281
"23",278.100006103516,282,272.350006103516,276.200012207031,233883,267.178985595703
"24",272,273.75,221,250.100006103516,974304,241.931427001953
"25",242,262.5,227.300003051758,258.600006103516,433290,250.15380859375
"26",244.5,258.5,230,256.700012207031,484118,248.315887451172
"27",261.049987792969,268,258,261.850006103516,295078,253.297637939453
"28",265,274.649993896484,264.950012207031,270.100006103516,427572,261.278259277344
"29",264.700012207031,272,260.100006103516,269.450012207031,221760,260.649444580078
"30",275.399993896484,275.399993896484,259.649993896484,267.850006103516,244592,259.101715087891
"31",272,280.5,270.299987792969,274.399993896484,337280,265.437713623047
"32",276.799987792969,277.350006103516,264.350006103516,265.850006103516,213218,257.167053222656
"33",268,271,253.350006103516,259.149993896484,264723,250.685836791992
"34",260.950012207031,267.799987792969,253.199996948242,265.700012207031,288993,257.021911621094
