,HAL.NS.Open,HAL.NS.High,HAL.NS.Low,HAL.NS.Close,HAL.NS.Volume,HAL.NS.Adjusted
1,563.8499756,577.5,559,574.625,352730,479.4468994
2,570.5,573.5,563.1749878,564.2999878,115130,470.8320618
3,565,570,557.5,557.9500122,163364,465.5338745
4,561,565.625,554.75,556.9749756,149988,464.7203674
5,551.75,559.4249878,550.0250244,551.4249878,146026,460.0895996
6,550.25,556,550.25,552.2249756,119028,460.7571106
7,554.9000244,555,546.0250244,551.1500244,107306,459.8602295
8,551,553,547.5,548.6500244,79912,457.7742004
9,548,549.0250244,540.0499878,543.0750122,109438,453.1227417
10,557.5,575,552.5499878,561.5250244,289764,468.5167542
11,562.5,579.9500122,562,573.9500122,270532,478.883728
12,578.5,582,571,573.2000122,123586,478.2579956
13,577,577.5,562.5,565,83918,471.4160767
14,569,576.7000122,564.5499878,570.5250244,101248,476.0260925
15,570.5999756,572.9500122,559,562.7750244,69878,469.5596619
16,566,574.5,561.1749878,565.6500244,79814,471.9585571
17,568.9749756,572.25,565,565.4000244,60078,471.7498474
18,565.5,572.9500122,561.4249878,562.7249756,69828,469.5179138
19,563.5,569,562.5,565.2249756,32780,471.6038818
20,566.3250122,567.4749756,561,562.9000244,33144,469.6639709
21,567.2000122,567.2000122,559.5,562.1749878,37230,469.0591736
22,559.5,565.9749756,555.625,557.125,37722,464.845459
23,557.0250244,557.5,544.5999756,547.5,38088,456.8148193
24,552.5,552.5,545,546.7750244,24564,456.2098083
25,545.25,561.0250244,541.0250244,554.0750122,42232,462.3007507
26,552.5999756,559.4500122,549.5,552.1749878,25240,460.715332
27,550,551.9749756,545,546.7249756,19522,456.1680908
28,545,545.9249878,542,542.7750244,25424,452.8723755
29,543.75,545.5,535.5750122,541.5999756,32238,451.8919373
30,541,543.9749756,532,533.2249756,35344,444.9041748
31,537.5,541.8250122,525.75,527.6749878,30794,440.273468
32,527.25,528.9500122,521.5,522.1500244,206278,435.6636047
33,523,525.3250122,516.4749756,519.875,19002,433.7653809
34,522,522,515.0250244,516.4249878,23104,430.8868408
35,515.9749756,515.9749756,504.5,510.6749878,51328,426.0892944
36,512.5,514.5,505.625,510.9750061,21616,426.3395386
37,510,512,503,507.8250122,23970,423.7113037
38,507.5,507.5750122,502.5249939,504.375,20556,420.8327942
39,504,512.5,502.7749939,511.375,27830,426.6732788
40,510,527.5,510,521.1749878,45700,434.8500671
41,517.5,525.5,517.5,524.3499756,17038,437.4992065
42,521.5,549,505.5,540.6749878,169116,451.1202393
43,542.5,549.4749756,523.25,528.5499878,684704,441.0035706
44,525,525.0250244,513.7750244,514.9249878,31148,429.6352844
45,520,520.0250244,507.5,509.2749939,20846,424.9210815
46,509.5,509.5249939,494.9750061,496.875,42304,414.5749817
47,495,502.1749878,494.5,498.4500122,18688,415.8891907
48,498,505,498,499.7749939,21514,416.9947205
49,497.7749939,499.4750061,493.75,495.2250061,27042,413.1983643
50,495.2749939,497.3500061,492,493.5499878,29734,411.8007202
51,493.75,496,484.3500061,486.875,46224,406.2314148
52,484,489.9750061,481.75,482.2250061,38652,402.351593
53,480,504,474.5249939,486.5499878,412558,405.9602356
54,485.0249939,487.5,480,484.25,27064,404.0411987
55,483,484.25,472.8250122,474.4249878,32204,395.8435364
56,473.5249939,475.4750061,464.4249878,465.1000061,35686,388.0630798
57,465.5,467.9750061,461.5,462.5499878,30550,385.9354553
58,462.5499878,463.5,455.5,456,35406,380.4703674
59,455.5499878,460.4750061,448,457.2000122,55906,381.4716187
60,455,456.9750061,449,450.5,20008,375.8814087
61,448,448.5,442.5249939,443.5249939,36168,370.061615
62,440,442.7000122,430,432.6499939,54490,360.987915
63,430.0249939,430.0249939,420,421.9500122,45704,352.0602417
64,421.9750061,425,421.5,422.2000122,26608,352.2687988
65,422.1000061,439.4750061,416.5750122,429.25,38980,358.1511536
66,428.5,429.25,421.0249939,422.1749878,18650,352.2479248
67,420.5499878,423.375,417.5,418.375,21490,349.0774231
68,417.5,419.9249878,413,414,16684,345.427002
69,412.5,417.8999939,412,414.375,27932,345.7398987
70,415,416.2999878,410.0249939,411.2749939,19422,343.1533813
71,410,427.9500122,410,424.0499878,43264,353.8123474
72,423.625,424.9750061,417.7749939,419.6749878,18542,350.1620483
73,419.6749878,424.4750061,414,415.7999878,15372,346.928894
74,413.5249939,420.4249878,409.0249939,413.375,26036,344.9056091
75,409.6000061,411.8999939,406,406.7999878,18462,339.4196167
76,405.5,411.3250122,404,408.125,39086,340.525177
77,406.4500122,407.4500122,400.7749939,402.0750122,19868,335.4772644
78,402,404.5,395.7749939,396.7250061,25722,331.0134277
79,396.9750061,396.9750061,390,392.5249939,36970,327.5090332
80,390.0249939,392.4249878,385.0249939,386.6000061,29158,322.5653992
81,387,393.7999878,386,391.1000061,24700,326.3201294
82,391.5,399.0499878,391.5,392.9750061,22476,327.8845825
83,391,397.5,387.5,391.0249939,27854,326.2575073
84,389.5,398.0750122,389.5,394.6499939,25988,329.282074
85,395.5,451.8999939,395.5,445.1000061,277582,371.3757935
86,449.5,488.4500122,448.5,484.2999878,603636,404.0829163
87,489,495.4500122,479.1749878,489.9750061,233110,408.8179016
88,485.9750061,488.9500122,469.3999939,478.7749939,63904,399.4730225
89,480,488.1000061,475,481.4249878,36284,401.6840515
90,486.25,486.25,471.9249878,477.8250122,41678,398.6804199
91,472.5,501.2000122,472.5,486.6000061,118838,406.0019531
92,490.9750061,492,483.0249939,486.3250122,31618,405.7724915
93,482.5,506.5,480.0750122,493.0499878,105504,411.383606
94,493,494,484.3999939,488.3999939,31512,407.5038147
95,478.4249878,499.5,478.4249878,491.9249878,144522,410.4449158
96,491.5,491.5,480.5499878,481.3500061,21722,401.621521
97,481,483.3500061,468.0249939,470.5,20654,392.568634
98,475.5,479.8500061,462.6749878,467.7250061,24828,390.2532959
99,463.0249939,468.4500122,461.5249939,461.9750061,23846,385.45578
100,461.5,462.9500122,455.0499878,457.0499878,16098,381.3464355
101,460,462.3999939,450.125,454.6749878,24592,379.3648071
102,454.875,457.4500122,445.5,447.5750122,16978,373.4408569
103,462.5,466.4249878,457.4500122,460.0499878,37228,383.8495178
104,460.0499878,460.0499878,447.5,448.9750061,26086,374.6089783
105,450.0249939,453.8250122,446,448.4750061,13860,374.191803
106,446.0249939,451.0499878,442.5,448.3250122,14098,374.0666504
107,446.2999878,450,444.2749939,446.125,15506,372.2310181
108,450,450,442.5,447.7999878,20372,373.62854
109,447.5249939,450,442.5750122,443.875,15780,370.3537292
110,441,444.9249878,431,434.3500061,16608,362.4063721
111,434.5,442.4750061,427.5499878,432.625,19492,360.9670715
112,432.5,469.3999939,427.5499878,461,217730,384.6422119
113,461,472.5249939,461,465.2250061,64412,388.1673584
114,468.7999878,468.7999878,455,455.875,24346,380.3660889
115,455,460,450,452.2999878,15452,377.3831787
116,455,467.25,454.8999939,466.1499939,47880,388.939209
117,460,480,459,476.5750122,70804,397.6374512
118,477.5,484.0750122,466.4750061,480.6749878,45500,401.0583801
119,472.7749939,479.9750061,466,467.375,14520,389.9612122
120,467.375,474.5,445,452.875,60708,377.8630066
121,456.4750061,465.2749939,432.75,435.9500122,21528,363.741333
122,436,440.1749878,419.2000122,421.0750122,26562,351.3301697
123,421.0249939,427.5,416.5,419.7250061,15014,350.2037964
124,419.9750061,423,410.125,413.2000122,12738,344.7595825
125,416,418.3500061,388.5,389.8999939,37102,325.3188782
126,397.5,413.8500061,394.7250061,401.2999878,36572,334.8305969
127,405,409.9249878,399.5750122,405.2250061,22038,338.1054993
128,403.0499878,405,396.5,401.3500061,17840,334.8723755
129,402,404.9750061,395,396.1000061,15152,330.4919739
130,395.5,397.5249939,387.0499878,390.4750061,17200,325.7986145
131,393,397.0750122,383.5,385.1000061,21170,321.3139038
132,385,392.4750061,380.5,387.0249939,30230,322.9200745
133,387,395.0249939,377.6499939,383.375,31590,319.8746338
134,383.375,395,383,389.0750122,16456,324.6305237
135,388.9500122,398.875,387.5499878,394.9500122,17600,329.5324097
136,395,410.2000122,395,402.3250122,20346,335.6858826
137,410.2250061,410.2250061,392.5,395.6000061,14132,330.0747681
138,395.4500122,398.5,387.6000061,389.8999939,9836,325.3188782
139,390,391.9249878,380,382.6749878,11196,319.2905579
140,379.2000122,383.5,375.5,376.5499878,13064,314.1800842
141,385,385,375.7999878,376.8999939,9098,314.4721375
142,375,376.5,370.5,371.0249939,13392,309.5702209
143,372.5,378,370,373.2250061,20818,311.4058228
144,375,376.6499939,370.0249939,375.1000061,14000,312.9702759
145,377.4249878,379.3500061,374,377.5499878,11148,315.0144348
146,377.4750061,382.7000122,374.9750061,380.2999878,16630,317.3089294
147,384.5,384.5,376,377.1000061,128032,314.6389771
148,379.5,381.9249878,376.7749939,378.3250122,20094,315.6611328
149,379.5,382.5,376.4249878,379.8500061,11864,316.9334412
150,380,388.5,380,383.1499939,21044,319.6869202
151,385.2000122,402.7000122,384,395.1499939,26842,329.6992188
