"","HCLTECH.NS.Open","HCLTECH.NS.High","HCLTECH.NS.Low","HCLTECH.NS.Close","HCLTECH.NS.Volume","HCLTECH.NS.Adjusted"
"1",444.5,445.350006103516,437.975006103516,439.350006103516,1286288,367.179901123047
"2",438.450012207031,447.5,438.424987792969,446.399993896484,1906518,373.071868896484
"3",446.5,453.899993896484,446.5,448.649993896484,2583906,374.952209472656
"4",448,449.725006103516,441.524993896484,446.549987792969,1193460,373.197143554688
"5",444.125,451.5,441.149993896484,450.024993896484,1492292,376.101318359375
"6",450.075012207031,451.700012207031,447.549987792969,450.25,2353168,376.289459228516
"7",450.25,451.424987792969,442.5,446.924987792969,2504270,373.510620117188
"8",446,459,445.549987792969,457.924987792969,3400572,382.703674316406
"9",459.5,462.450012207031,455.024993896484,458.450012207031,4243446,383.142486572266
"10",459.25,464,456.125,462.950012207031,1980698,386.9033203125
"11",462.5,465.549987792969,452.75,454.625,2536486,379.945648193359
"12",457.049987792969,477.5,455,474.625,8963404,396.660400390625
"13",475,481.799987792969,471.649993896484,476.424987792969,5498922,398.164825439453
"14",476.5,479.825012207031,470.25,477.125,1869500,398.749725341797
"15",478.5,483.5,473.075012207031,479.149993896484,4748438,400.442138671875
"16",480,487.450012207031,472.5,483.174987792969,4431318,403.805969238281
"17",484.975006103516,500,484.274993896484,497.674987792969,5015202,415.924133300781
"18",497,520.349975585938,496,509.225006103516,9269776,425.576812744141
"19",509.399993896484,510,495.024993896484,504.774993896484,5307454,421.857849121094
"20",505,510.5,502.524993896484,506.024993896484,4013296,423.741943359375
"21",508.75,508.75,499,500.200012207031,2711352,418.864135742188
"22",499.975006103516,508.950012207031,490.850006103516,493.274993896484,3221144,413.065155029297
"23",491.049987792969,507.475006103516,484.5,492.450012207031,3055658,412.374328613281
"24",490,503.850006103516,488.924987792969,495.450012207031,3345056,414.886535644531
"25",495,500.899993896484,490,496.575012207031,2177578,415.828674316406
"26",482.475006103516,484.375,474.024993896484,476.924987792969,3310994,399.373779296875
"27",479.100006103516,479.5,461,469.274993896484,4051696,392.967742919922
"28",472.875,481.5,468.75,472.174987792969,2896536,395.396179199219
"29",467.5,485.299987792969,461.274993896484,482,3456506,403.623596191406
"30",482.75,486.375,468.674987792969,469.575012207031,2975588,393.218994140625
"31",469.899993896484,479.899993896484,465.149993896484,468.899993896484,2889532,392.653686523438
"32",472,474.825012207031,466,469.850006103516,2281842,393.449279785156
"33",472.5,485.475006103516,465.5,468.549987792969,5698140,392.360656738281
"34",468.924987792969,469.850006103516,450.049987792969,457.100006103516,2925546,382.772552490234
"35",458,462.600006103516,452.5,453.725006103516,2462802,379.946228027344
"36",459,473.899993896484,456,471.450012207031,5569512,394.789093017578
"37",471.5,481.5,465.774993896484,470.5,8186574,393.993560791016
"38",474.450012207031,483.950012207031,471.450012207031,477.799987792969,5675166,400.106567382812
"39",477.950012207031,482.549987792969,471.524993896484,473.024993896484,2112112,396.108001708984
"40",476.5,479.299987792969,472,474.950012207031,2879428,397.720031738281
