"","INFY.NS.Open","INFY.NS.High","INFY.NS.Low","INFY.NS.Close","INFY.NS.Volume","INFY.NS.Adjusted"
"1",518.849975585938,522.25,515,516.775024414062,5431340,428.916870117188
"2",518.625,521,511.5,514.849975585938,6112248,427.319091796875
"3",514.25,515.799987792969,509.299987792969,510.649993896484,6846552,423.833160400391
"4",510.5,510.5,504.799987792969,507.700012207031,8947614,421.384704589844
"5",507.649993896484,513.200012207031,503,506,11025976,419.973754882812
"6",512.450012207031,519.5,510.024993896484,518.025024414062,5594690,429.954315185547
"7",520,522.450012207031,514.450012207031,520.674987792969,9948236,432.153778076172
"8",523.400024414062,528,516.525024414062,526.125,9468634,436.677215576172
"9",527.625,541.700012207031,527.625,537.900024414062,16775298,446.450408935547
"10",542.900024414062,542.950012207031,535.275024414062,539.224975585938,18016528,447.550079345703
"11",540,546.474975585938,532.549987792969,540.575012207031,10649250,448.670501708984
"12",540.625,567.400024414062,540.625,561.424987792969,22646966,465.975799560547
"13",562.424987792969,580.900024414062,561.5,576.049987792969,26154088,478.114318847656
"14",572.5,582.450012207031,566.049987792969,576.349975585938,13204970,478.363342285156
"15",572.5,573.950012207031,568,571.724975585938,5988278,474.524658203125
"16",566.075012207031,578.474975585938,566,575,9650214,477.242797851562
"17",577.5,594,577.5,588.549987792969,15403796,488.489196777344
"18",587.400024414062,610.525024414062,583.75,592.900024414062,20604718,492.099731445312
"19",591,591.700012207031,581.125,587.700012207031,13548914,487.783813476562
"20",583.275024414062,598.125,582.599975585938,591.450012207031,10823002,490.896240234375
"21",589.450012207031,591.549987792969,581.349975585938,585.325012207031,8628312,485.812408447266
"22",579.575012207031,583.299987792969,571.075012207031,575.125,9213698,477.346618652344
"23",571.099975585938,578.950012207031,559.275024414062,572.299987792969,13005454,475.001861572266
"24",567.625,581.450012207031,565.049987792969,571.625,10244486,474.441680908203
"25",570,577.424987792969,567.924987792969,569.099975585938,9860220,472.345916748047
"26",549.974975585938,564.174987792969,547.575012207031,553.875,10552078,459.709381103516
"27",558,562.400024414062,551.775024414062,554.525024414062,8342056,460.248931884766
"28",561.400024414062,573.200012207031,558.275024414062,567.125,8807244,470.706756591797
"29",559,560.150024414062,553,554.575012207031,4382690,460.290344238281
"30",557.400024414062,560.299987792969,548.900024414062,551.400024414062,6291972,457.655212402344
"31",553,558.650024414062,545.099975585938,548.875,8345712,455.559417724609
"32",551.5,564.849975585938,551.5,557.224975585938,7986736,462.489807128906
"33",562.5,570.825012207031,559.049987792969,564.025024414062,9889222,468.133758544922
"34",564.200012207031,568,560.150024414062,565.875,6461840,469.669281005859
"35",551.875,574.75,551.875,568.474975585938,7188594,471.8271484375
"36",573.75,575.950012207031,570,573.700012207031,13771358,476.163909912109
"37",572.775024414062,582,570.224975585938,580.375,17859974,481.704132080078
"38",581.75,583,573.375,577.825012207031,9459828,479.587646484375
"39",575.5,577.525024414062,567.174987792969,569.299987792969,5083608,472.511901855469
"40",572.474975585938,576.825012207031,562.825012207031,575.099975585938,6616026,477.325714111328
"41",573.799987792969,594.75,571.275024414062,586.299987792969,17268416,486.621765136719
"42",584.799987792969,584.799987792969,578.025024414062,580.375,6579852,481.704132080078
"43",580.375,585.400024414062,571.625,577.950012207031,8101456,479.691345214844
"44",581.275024414062,582.700012207031,571.799987792969,575.674987792969,6689734,477.803039550781
"45",577.5,580,569.025024414062,572.049987792969,6370416,474.79443359375
"46",574.5,582.900024414062,574.5,578.325012207031,6093014,480.002624511719
"47",581.174987792969,583,577.775024414062,581.700012207031,4220964,482.803802490234
"48",588,595.924987792969,585.875,592.875,7676970,492.078918457031
"49",590.099975585938,598.5,587.575012207031,591.900024414062,8581052,491.269683837891
"50",590,595.299987792969,584.549987792969,590.400024414062,4429710,490.024658203125
"51",590,594.200012207031,586,591.25,6101500,490.730194091797
"52",591,591.200012207031,584.625,585.950012207031,17954826,486.331207275391
"53",582,590.25,571.325012207031,573.375,7526620,475.894226074219
"54",574.299987792969,585,574.299987792969,582.275024414062,8553766,483.281005859375
"55",585,587.75,581.099975585938,583.75,7692994,484.505249023438
"56",582.25,588.724975585938,577.650024414062,580.650024414062,6813168,481.932434082031
"57",573.5,586.900024414062,571.174987792969,583.799987792969,12008084,484.546691894531
"58",583.450012207031,583.450012207031,572,577.625,8930722,479.421569824219
"59",580,580.650024414062,575.049987792969,577,3802088,478.902954101562
"60",575.375,575.375,563.125,565.900024414062,12558322,469.690002441406
"61",570.5,574.775024414062,560.650024414062,568.575012207031,8072702,471.910186767578
"62",567.349975585938,571.775024414062,564.049987792969,570.224975585938,4077168,473.279632568359
"63",572,572.275024414062,560,562.099975585938,4813302,466.535980224609
"64",569.775024414062,575.650024414062,564.549987792969,573.775024414062,7763544,476.226165771484
"65",571.5,573,561.049987792969,563.5,5937742,467.697998046875
"66",562.5,562.900024414062,553.275024414062,555.625,7202882,461.161895751953
"67",556,562.25,552.700012207031,556.700012207031,8926058,462.054077148438
"68",559,565.75,558.25,562.125,9025574,466.556884765625
"69",564.724975585938,586.375,562.5,581.299987792969,17044366,482.471771240234
"70",587,592.950012207031,575.125,585.724975585938,21227038,486.144439697266
"71",551,570,551,566.599975585938,24745084,470.27099609375
"72",563.5,563.700012207031,557.5,562.599975585938,10397940,466.951049804688
"73",561.424987792969,567.375,556.924987792969,562.974975585938,10430380,467.262298583984
"74",562,569.900024414062,561.549987792969,566.424987792969,8525542,470.125793457031
"75",569.5,596.849975585938,568.474975585938,589.224975585938,24272692,489.049407958984
"76",584,607.200012207031,577.625,593.849975585938,21830638,492.888061523438
"77",592.5,598.200012207031,575.049987792969,577.25,8526216,479.110382080078
"78",576,585.5,572.599975585938,580.174987792969,11594178,481.538055419922
"79",587,590.825012207031,580,588.224975585938,11302084,488.219451904297
"80",590,595.799987792969,587.099975585938,592.599975585938,7663370,491.850646972656
"81",590.849975585938,603.974975585938,590.325012207031,599.75,5511678,497.785095214844
"82",599.450012207031,600.799987792969,590.5,598.525024414062,10295042,496.768310546875
"83",598.625,602.349975585938,588.049987792969,591.275024414062,5332230,490.750946044922
"84",592.5,593,577.5,586.549987792969,6023368,486.829254150391
"85",590.625,595,587.75,591.5,4638960,490.937713623047
"86",588.950012207031,588.950012207031,580.525024414062,582.775024414062,5718556,483.696014404297
"87",583.75,588.450012207031,581.5,585.349975585938,3783504,485.833221435547
"88",588,591.5,581.424987792969,584,3182862,484.712615966797
"89",586.150024414062,591.599975585938,583.025024414062,590.375,3311706,490.003936767578
"90",592.174987792969,595.75,585,594.650024414062,4432094,493.552062988281
"91",594.049987792969,604,594.049987792969,597.275024414062,5611974,495.730926513672
"92",593.625,599,592.25,594.974975585938,6205004,493.821838378906
"93",598,598.724975585938,586.775024414062,591.450012207031,9519598,490.896240234375
"94",591.5,593.275024414062,586.5,591.599975585938,7139660,491.020660400391
"95",589.775024414062,594.200012207031,585,589.75,8475320,489.485198974609
"96",587.5,599,586.950012207031,596.924987792969,5636804,495.440460205078
"97",597.5,603.825012207031,590.75,592.450012207031,9538442,491.726226806641
"98",599,613.775024414062,599,610.5,9740570,506.707427978516
"99",615.049987792969,624.325012207031,610.400024414062,614.150024414062,8901438,509.736968994141
"100",615.5,616.299987792969,603,607.200012207031,5739794,503.968536376953
"101",607.025024414062,613.275024414062,603.099975585938,608.349975585938,3388934,504.922943115234
"102",608.5,614.375,602.799987792969,605.849975585938,6323066,502.848022460938
"103",605.849975585938,621,605.125,615.900024414062,19720340,511.189361572266
"104",615.200012207031,623.125,608.599975585938,610.400024414062,4998356,506.624450683594
"105",610.549987792969,621.5,606,619.700012207031,4270156,514.34326171875
"106",621,621,608.5,610.424987792969,4710862,506.645202636719
"107",612.599975585938,620.775024414062,610.025024414062,618.724975585938,4038184,513.534118652344
"108",619,629,619,626.224975585938,6676226,519.759033203125
"109",624,631,623.025024414062,630.025024414062,6459878,522.912902832031
"110",632.775024414062,635,627.525024414062,631.200012207031,5171290,523.888244628906
"111",632.875,635.625,625.224975585938,629.25,7839820,522.269592285156
"112",633.400024414062,642,633.400024414062,637.400024414062,5766928,529.034118652344
"113",626.5,626.5,617.049987792969,619.849975585938,7598848,522.8759765625
"114",618.5,645.75,617.5,640.625,19957760,540.401000976562
"115",642,645.625,631.174987792969,633.700012207031,8214846,534.559387207031
"116",631.5,631.700012207031,619.025024414062,620.799987792969,7545700,523.677551269531
"117",624.25,626.174987792969,619,621.575012207031,5371802,524.331420898438
"118",622.974975585938,628.25,618,623.275024414062,5798790,525.765441894531
"119",621.5,627.75,620.599975585938,623.924987792969,4343118,526.313659667969
"120",628.575012207031,639.400024414062,627,636.224975585938,7731178,536.689331054688
"121",634.5,641.950012207031,633.125,638.924987792969,4483504,538.966918945312
"122",641.974975585938,646.724975585938,632.799987792969,635,6952142,535.656066894531
"123",638.150024414062,649,638.125,644.799987792969,10996818,543.922668457031
"124",649.025024414062,657.5,641.625,653.599975585938,9966600,551.346008300781
"125",657,670,657,667.349975585938,4830144,562.944946289062
"126",665.950012207031,678.950012207031,665.875,676.875,8127452,570.979797363281
"127",676.025024414062,676.325012207031,669.424987792969,672.599975585938,5025722,567.37353515625
"128",673.549987792969,673.625,634.049987792969,642,17019902,541.560852050781
"129",645.125,650.924987792969,634.5,642.125,11215356,541.666381835938
"130",648.5,651.5,639.525024414062,649.424987792969,6644998,547.82421875
"131",654.25,657.724975585938,647.150024414062,650.700012207031,5974488,548.899780273438
"132",658.775024414062,671.049987792969,645.674987792969,660.224975585938,11899832,556.9345703125
"133",663.049987792969,663.549987792969,642.224975585938,647.174987792969,13272240,545.926208496094
"134",657.5,665.799987792969,649.174987792969,658.700012207031,19496158,555.648315429688
"135",658.700012207031,692.200012207031,643.849975585938,666.424987792969,35344680,562.164672851562
"136",664.849975585938,674.75,656.349975585938,663.950012207031,11161690,560.076843261719
"137",669.900024414062,671.700012207031,657,661.275024414062,6919016,557.820373535156
"138",661.5,665.950012207031,654.549987792969,658.349975585938,5118864,555.352905273438
"139",663,683.575012207031,660.650024414062,674.049987792969,11705738,568.5966796875
"140",676.075012207031,684,668.125,677.974975585938,7675702,571.907592773438
"141",687.200012207031,691.200012207031,678,688.575012207031,6172246,580.849426269531
"142",689.5,696.900024414062,682.724975585938,691.875,6936922,583.632995605469
"143",689.275024414062,695.200012207031,684.599975585938,686.625,7362218,579.204406738281
"144",686.599975585938,694.5,684.150024414062,686.724975585938,6493232,579.288696289062
"145",685,686.5,674,675.5,6409970,569.820007324219
"146",674.275024414062,685,667.775024414062,682.549987792969,7943996,575.766906738281
"147",681.900024414062,684.224975585938,675.5,677.025024414062,4675706,571.106384277344
"148",679.799987792969,683.375,675.075012207031,676.825012207031,5940742,570.937561035156
"149",683.099975585938,683.099975585938,678,682.049987792969,3970390,575.345092773438
"150",683.025024414062,687.5,673.75,680.325012207031,6178930,573.890075683594
"151",687,689.974975585938,680.325012207031,683.974975585938,7351528,576.969055175781
"152",685.900024414062,686.25,676.650024414062,681.375,3992358,574.775817871094
"153",686.825012207031,694.724975585938,686.825012207031,689.974975585938,6409524,582.0302734375
"154",692.900024414062,694.5,686.525024414062,692.724975585938,4779520,584.350158691406
"155",695,704.924987792969,689.349975585938,704.375,9979746,594.177429199219
"156",706.974975585938,712.275024414062,702,704.150024414062,6151320,593.987609863281
"157",707.474975585938,717.450012207031,705.625,714.775024414062,6626774,602.950500488281
"158",715.450012207031,718.825012207031,711.5,715.174987792969,6390408,603.287780761719
"159",694,703.974975585938,686.75,692.125,16101876,583.843994140625
"160",695,698,686.875,691.974975585938,8361482,583.717346191406
"161",696.5,700.75,692.674987792969,698.700012207031,7717182,589.390319824219
"162",698.25,700.950012207031,688.049987792969,689.150024414062,7053000,581.334350585938
"163",691.5,709.974975585938,690.700012207031,707.700012207031,7012950,596.982299804688
"164",708.599975585938,719.200012207031,705.75,712.349975585938,6496890,600.90478515625
"165",716.799987792969,716.799987792969,702.575012207031,705.049987792969,5646496,594.746887207031
"166",706.400024414062,710.775024414062,698.075012207031,708.099975585938,11507962,597.319763183594
"167",712.549987792969,727.150024414062,710.549987792969,720.549987792969,10875864,607.822082519531
"168",724.5,733.950012207031,715,717.125,10976328,604.932861328125
"169",722,748.5,716,737.150024414062,15370124,621.824890136719
"170",741.950012207031,744.049987792969,725.400024414062,729.900024414062,8658978,615.709167480469
"171",732.549987792969,735.5,724.099975585938,727.150024414062,5598659,613.389465332031
"172",734.349975585938,735.150024414062,723.799987792969,732.799987792969,6510605,618.155517578125
"173",737.75,747,729.400024414062,730.849975585938,5629871,616.510559082031
"174",735.900024414062,744.75,732,734.299987792969,6963561,619.420776367188
"175",744.400024414062,746.5,736.25,742.900024414062,4636617,626.675354003906
"176",741.900024414062,745,729.049987792969,733.700012207031,7896514,618.91455078125
"177",735,740,724.599975585938,725.950012207031,5427054,612.377197265625
"178",730,730,717,719.099975585938,7729732,606.598815917969
"179",727,727,713.200012207031,719.75,4849498,607.147155761719
"180",713.849975585938,717.400024414062,692,705.299987792969,14350769,594.957824707031
"181",706.5,729.950012207031,706.5,718.25,8637881,605.881652832031
"182",718.25,736,717,726.200012207031,9602273,612.588012695312
"183",731.200012207031,731.849975585938,712,717.849975585938,6599606,605.544311523438
"184",722,730.799987792969,717.450012207031,724.799987792969,14592616,611.407043457031
"185",721,734.549987792969,715.200012207031,730.049987792969,7490031,615.835693359375
"186",737.5,754.900024414062,733,746.650024414062,8252398,629.838745117188
"187",743.799987792969,751.950012207031,726.299987792969,728.5,7792464,614.528259277344
"188",728.5,729.75,702.5,707.200012207031,6173037,596.560424804688
"189",713,731.5,709.299987792969,724.599975585938,8543578,611.238220214844
"190",725.049987792969,728.700012207031,709.25,714.450012207031,7259306,602.676330566406
"191",717.099975585938,722.400024414062,702.650024414062,717.75,6777212,605.459899902344
"192",719.900024414062,719.900024414062,695.400024414062,700.450012207031,8866251,590.86669921875
"193",685,692.900024414062,663.299987792969,673.349975585938,10985897,568.006225585938
"194",676.400024414062,684.049987792969,661.5,678.799987792969,8909221,572.603637695312
"195",688.599975585938,705,681.5,698.799987792969,6222176,589.474731445312
"196",710,713.900024414062,689.400024414062,695.25,11588963,586.480163574219
"197",710,721.799987792969,701.349975585938,705.349975585938,20360697,594.999938964844
"198",687,687.700012207031,678,683.549987792969,10421001,576.610473632812
"199",688.700012207031,695.049987792969,673.799987792969,679.950012207031,6672840,573.573852539062
"200",675.950012207031,682,653.299987792969,657.599975585938,9041701,554.720336914062
"201",663,666.5,647.150024414062,649.799987792969,7058164,548.140686035156
"202",643,656.349975585938,636.25,648.75,8270469,553.21435546875
"203",645.299987792969,648.700012207031,629.900024414062,633.599975585938,5464141,540.29541015625
"204",633.700012207031,650.549987792969,631.5,644.75,7137446,549.803405761719
"205",641.099975585938,663.799987792969,637.450012207031,659.599975585938,8793411,562.466491699219
"206",663.900024414062,692.950012207031,663.049987792969,686.400024414062,11947995,585.319946289062
"207",689.700012207031,689.700012207031,659.599975585938,666.700012207031,5860244,568.52099609375
"208",665.950012207031,675.799987792969,660.099975585938,662.25,6654067,564.726257324219
"209",663.5,668.599975585938,657,666,5799426,567.924194335938
"210",667.900024414062,675,660.650024414062,666.450012207031,6975525,568.307800292969
"211",673,677.5,672,675.5,758956,576.025207519531
"212",679,679,655.5,659.5,9694143,562.381408691406
"213",666,676.400024414062,662.299987792969,664.200012207031,7118080,566.389221191406
"214",663.5,667.75,656.299987792969,665.700012207031,4137808,567.668151855469
"215",665.700012207031,665.700012207031,640.5,653.200012207031,7323026,557.008972167969
"216",654,666,646.700012207031,656.400024414062,5513390,559.737854003906
"217",659.900024414062,662.5,644.200012207031,650.849975585938,8583785,555.005187988281
"218",659,662,649.25,651.700012207031,6018930,555.72998046875
"219",651.700012207031,656,640.099975585938,641.400024414062,5384830,546.946716308594
"220",640,640.049987792969,612.099975585938,619.099975585938,14359086,527.930603027344
"221",622.25,628.150024414062,616.75,620.75,6632975,529.337707519531
"222",621,628,599.849975585938,621.450012207031,15075209,529.934631347656
"223",625.5,641,625.299987792969,638.900024414062,12285851,544.814819335938
"224",640.950012207031,668.700012207031,640,666.400024414062,17719890,568.26513671875
"225",671,674.900024414062,658.799987792969,661.049987792969,13399070,563.703125
"226",661,672,660.950012207031,667.450012207031,10445773,569.160522460938
"227",673.150024414062,679,665.950012207031,670.349975585938,8260890,571.633483886719
"228",672.549987792969,688.25,671.299987792969,685.25,7827923,584.33935546875
"229",683,683.650024414062,672.5,681.400024414062,5177288,581.056274414062
"230",676.099975585938,685.450012207031,664.549987792969,668.5,8039771,570.05615234375
"231",672,685.75,665.599975585938,682.799987792969,5553948,582.250244140625
"232",669.900024414062,683.799987792969,665.200012207031,669.200012207031,5121196,570.65283203125
"233",669.200012207031,681.900024414062,660.599975585938,674.5,7120933,575.172485351562
"234",677.099975585938,680.650024414062,670.599975585938,678.5,6926183,578.583312988281
"235",682,700,680,697.75,7521474,594.99853515625
"236",697.450012207031,713.700012207031,694.400024414062,706.049987792969,9560576,602.076293945312
"237",711.849975585938,711.849975585938,692.75,694.400024414062,4778465,592.141906738281
"238",686.5,686.5,674.549987792969,676.599975585938,8021298,576.963134765625
"239",671.549987792969,671.549987792969,661.099975585938,664.849975585938,8295459,566.943481445312
"240",660,671.549987792969,656.400024414062,667.049987792969,11705260,568.819458007812
"241",659.5,659.5,643.450012207031,646.200012207031,12802132,551.039794921875
"242",657,658.799987792969,647.599975585938,649,8379825,553.427551269531
"243",647,647,637.349975585938,644.049987792969,6178552,549.20654296875
"244",652.75,663.25,649,656.799987792969,15333902,560.078918457031
"245",663.349975585938,663.5,653.299987792969,656.950012207031,4736598,560.206787109375
"246",660,662,655.799987792969,658.950012207031,3373319,561.912414550781
"247",660.950012207031,666.299987792969,654.150024414062,665.049987792969,2943390,567.114013671875
"248",666,674,662.049987792969,669.049987792969,7416655,570.524841308594
"249",672,677,663.099975585938,669.150024414062,6827249,570.610229492188
"250",671.75,673.900024414062,651,661.049987792969,7889310,563.703125
"251",665,673.599975585938,661.5,671.700012207031,8046340,572.784790039062
"252",674.950012207031,677.450012207031,668.549987792969,670.049987792969,8621545,571.377624511719
"253",686.200012207031,689.799987792969,664,676.099975585938,18130292,576.536804199219
"254",681.599975585938,682,672.549987792969,679.700012207031,9572493,579.606628417969
"255",680.200012207031,685.5,672.5,683.5,12281903,582.847045898438
"256",707,710.200012207031,695.950012207031,701.900024414062,19312937,598.537536621094
