"","JKCEMENT.NS.Open","JKCEMENT.NS.High","JKCEMENT.NS.Low","JKCEMENT.NS.Close","JKCEMENT.NS.Volume","JKCEMENT.NS.Adjusted"
"1",1116.59997558594,1128,1110.05004882812,1113.69995117188,28633,1061.79113769531
"2",1112.05004882812,1117.19995117188,1101,1114.19995117188,23247,1062.26782226562
"3",1122.90002441406,1126,1110,1114,23591,1062.07702636719
"4",1105,1125.84997558594,1105,1123.94995117188,56961,1071.56323242188
"5",1129.80004882812,1148,1125.09997558594,1134.65002441406,31172,1081.76477050781
"6",1136.65002441406,1149.80004882812,1135,1145.44995117188,29626,1092.06127929688
"7",1150,1153.90002441406,1135,1148.90002441406,31640,1095.35034179688
"8",1148.84997558594,1154.90002441406,1106.80004882812,1144.90002441406,20341,1091.53686523438
"9",1147.09997558594,1160,1127.30004882812,1136.05004882812,25718,1083.09948730469
"10",1148.59997558594,1148.59997558594,1125,1135,33130,1082.09826660156
"11",1135.09997558594,1143.65002441406,1116.25,1124.94995117188,97019,1072.5166015625
"12",1137.15002441406,1165,1120,1139.34997558594,49037,1086.24572753906
"13",1147,1151.15002441406,1118.94995117188,1148.75,13936,1095.20739746094
"14",1165,1194.80004882812,1132,1141.30004882812,170320,1088.10473632812
"15",1140.30004882812,1144.90002441406,1103.69995117188,1128.15002441406,24425,1075.56750488281
"16",1135,1168,1120,1153.05004882812,15329,1099.30700683594
"17",1136,1160,1136,1153.15002441406,14953,1099.40234375
"18",1146,1160,1131,1148.34997558594,38359,1094.82604980469
"19",1135.09997558594,1164.94995117188,1128.09997558594,1148.30004882812,52287,1094.77844238281
"20",1140,1149,1126.40002441406,1133.30004882812,23563,1080.47766113281
"21",1141.15002441406,1141.15002441406,1081,1121.84997558594,32542,1069.56127929688
"22",1102,1126.15002441406,1093.84997558594,1114.90002441406,24664,1062.93505859375
"23",1122,1151,1100,1131.25,24873,1078.52307128906
"24",1127.94995117188,1127.94995117188,1079,1092.90002441406,23575,1041.96057128906
"25",1065.65002441406,1089,1030.5,1070.40002441406,27868,1020.50927734375
"26",1003.15002441406,1067.94995117188,1003.15002441406,1053.65002441406,19531,1004.54010009766
"27",1069.44995117188,1085,1010.95001220703,1018.5,36190,971.028259277344
"28",1025,1044.40002441406,1019.75,1038.15002441406,19820,989.762451171875
"29",1022.09997558594,1035.15002441406,1020.04998779297,1025.84997558594,34764,978.035705566406
"30",1043,1045.55004882812,1022,1027.40002441406,15595,979.513488769531
"31",1042,1042,1025,1030.09997558594,32475,982.087524414062
"32",1040.80004882812,1040.80004882812,1022.5,1025.30004882812,35670,977.511413574219
"33",1025.05004882812,1038.90002441406,1020.04998779297,1024.59997558594,14058,976.843994140625
"34",1014,1051,1001,1032.69995117188,10197,984.566345214844
"35",1040,1044.94995117188,1016,1034,36097,985.805847167969
"36",1048,1048,1022,1037.09997558594,12777,988.761291503906
