"","JSWSTEEL.NS.Open","JSWSTEEL.NS.High","JSWSTEEL.NS.Low","JSWSTEEL.NS.Close","JSWSTEEL.NS.Volume","JSWSTEEL.NS.Adjusted"
"1",269.5,271.700012207031,264.350006103516,265.799987792969,1261616,238.266387939453
"2",267,268,261.700012207031,264.549987792969,2277139,237.145858764648
"3",267.850006103516,272.25,266.350006103516,268.700012207031,3279293,240.865982055664
"4",270.75,281.899993896484,269.5,277.149993896484,6281682,248.440673828125
"5",279.25,289.899993896484,278.649993896484,285.100006103516,8325201,255.567108154297
"6",286.100006103516,289.5,283.100006103516,286,2686737,256.373931884766
"7",286.25,289.5,281,284,2281715,254.581100463867
"8",283.200012207031,285,278.450012207031,282.799987792969,2748652,253.505355834961
"9",283.700012207031,285.75,282,282.549987792969,1757575,253.281280517578
"10",283.100006103516,289.75,282.75,286.799987792969,5118636,257.091064453125
"11",287.600006103516,292.899993896484,283.75,285,3602106,255.477523803711
"12",286.399993896484,287.399993896484,276.299987792969,281.200012207031,3107547,252.071151733398
"13",282.100006103516,287,279.5,285.049987792969,3574084,255.522277832031
"14",285.799987792969,289,275.350006103516,279.799987792969,8128594,250.816162109375
"15",281.100006103516,283.100006103516,273.049987792969,282.100006103516,3291487,252.877914428711
"16",283,283.5,276.600006103516,278.649993896484,2143377,249.785263061523
"17",279.350006103516,299.299987792969,277.049987792969,294.049987792969,8672380,263.590057373047
"18",292.350006103516,296,287.049987792969,288.649993896484,4037279,258.749420166016
"19",292.350006103516,297,288.100006103516,290.799987792969,7330584,260.676666259766
"20",291,300.450012207031,291,293.450012207031,4673841,263.052185058594
"21",292.899993896484,292.899993896484,287.75,289.100006103516,2152791,259.152801513672
"22",289,294,281.100006103516,289.950012207031,6604621,259.914733886719
"23",296,306.799987792969,285.399993896484,302.649993896484,8031105,271.299163818359
"24",298.75,314.350006103516,293.25,299,12354843,268.027221679688
"25",295,299.950012207031,282.850006103516,291.25,6863987,261.080078125
"26",278.850006103516,289.299987792969,265.600006103516,283.200012207031,8006195,253.863967895508
"27",287.899993896484,294.399993896484,284.350006103516,290,9691897,259.959564208984
"28",290,308.399993896484,290,304.200012207031,8028713,272.688629150391
"29",295.75,311.850006103516,295.149993896484,309.350006103516,6726146,277.305084228516
"30",312,315.700012207031,309.25,310.75,4120075,278.560119628906
"31",313.799987792969,314.450012207031,308.149993896484,309.549987792969,3992497,277.484375
"32",311.25,314.25,305.549987792969,307.799987792969,3695342,275.915649414062
"33",310.100006103516,313.75,306.350006103516,312.399993896484,5742059,280.039184570312
"34",313.799987792969,313.799987792969,293.049987792969,302.700012207031,6238413,271.344024658203
"35",303.200012207031,309.450012207031,300.5,305.600006103516,4940505,273.943634033203
"36",307.200012207031,308.149993896484,295,298.299987792969,5947856,267.399780273438
"37",299.299987792969,301.75,295,297.700012207031,11882391,266.861938476562
"38",299,307.799987792969,298.549987792969,306.950012207031,4641724,275.153747558594
"39",310.75,316.899993896484,308.450012207031,316.100006103516,5314911,283.355926513672
"40",319,320.450012207031,314.25,318.100006103516,6081243,285.148773193359
"41",313.299987792969,315.5,310.350006103516,312.200012207031,6391843,279.859924316406
"42",315,317.799987792969,303,305.5,6417443,273.853973388672
"43",299.399993896484,300.100006103516,289,291.649993896484,9282086,261.438598632812
"44",298.700012207031,301.899993896484,292.100006103516,293.5,9755916,263.097045898438
"45",293,293.799987792969,286.149993896484,289.5,7208335,259.511352539062
"46",294,296.299987792969,284.200012207031,289.25,5748695,259.287261962891
"47",291,294.200012207031,284.700012207031,291.950012207031,8084115,261.707580566406
"48",295.200012207031,299.899993896484,291.799987792969,297.850006103516,4186325,266.996398925781
"49",298.799987792969,304.600006103516,295.799987792969,303.5,4161207,272.061126708984
"50",300.200012207031,303.799987792969,298.200012207031,300.450012207031,3032723,269.327026367188
"51",299.799987792969,300.950012207031,294.100006103516,295.149993896484,3721114,264.576141357422
"52",295,295,288.799987792969,290.25,7106321,260.183685302734
"53",290.25,290.25,280.049987792969,283.600006103516,3716523,254.22248840332
"54",280.100006103516,288.75,279.649993896484,285.5,5586853,255.925704956055
"55",288.75,291.299987792969,285.25,288.399993896484,3943743,258.525299072266
"56",288,290.899993896484,284.850006103516,286,3731255,256.373931884766
"57",279.899993896484,288.100006103516,276.350006103516,286,6571245,256.373931884766
"58",286,296,285,293.899993896484,3302313,263.45556640625
"59",299.450012207031,300,295.100006103516,298.850006103516,4209223,267.892761230469
"60",296.899993896484,298.200012207031,286.399993896484,288.149993896484,5122171,258.301239013672
"61",290,297.450012207031,288.25,296.549987792969,2582307,265.831024169922
"62",294.950012207031,304.549987792969,292.299987792969,303.049987792969,5214588,271.657653808594
"63",304.5,307.25,293.649993896484,295.850006103516,5561514,265.203552246094
"64",301.049987792969,309.350006103516,300.600006103516,308.399993896484,4210195,276.453521728516
"65",305.5,309.299987792969,304.5,308.200012207031,2787944,276.274261474609
"66",308,313,306.700012207031,309.399993896484,3191991,277.349975585938
"67",312.899993896484,314.75,307.049987792969,311.350006103516,3478934,279.097961425781
"68",315.950012207031,318.399993896484,310.549987792969,312.200012207031,6847386,279.859924316406
"69",312,312.850006103516,306.75,308.25,2993563,276.319091796875
"70",309.5,312.299987792969,305.5,308.5,4046812,276.543151855469
"71",307.399993896484,310,306,308.899993896484,2741849,276.901733398438
"72",309.5,311.299987792969,307.200012207031,309.149993896484,2788017,277.125823974609
"73",307,312,307,309.950012207031,3234140,277.842956542969
"74",311.25,327.799987792969,311.25,322.850006103516,8395329,289.406707763672
"75",318.850006103516,326.200012207031,317.899993896484,322.850006103516,5243673,289.406707763672
"76",321.950012207031,327.450012207031,319.5,321.799987792969,3113729,288.465454101562
"77",317.5,326,316.350006103516,324.75,4078872,291.10986328125
"78",325,326.799987792969,319.799987792969,321.700012207031,3081536,288.375854492188
"79",321.5,330.399993896484,321.25,327.700012207031,4602880,293.754302978516
"80",328,330.350006103516,325.399993896484,327.600006103516,2704711,293.664642333984
"81",323.549987792969,331.200012207031,323.350006103516,325,2847539,291.333953857422
"82",327.799987792969,327.799987792969,314.049987792969,315.149993896484,2136023,282.504302978516
"83",315.899993896484,320.149993896484,310.5,319.299987792969,5122999,286.224426269531
"84",318.5,319.399993896484,314.700012207031,317.399993896484,3147597,284.521240234375
"85",319.950012207031,327.100006103516,316.5,325.799987792969,3285970,292.051116943359
"86",326.700012207031,328.450012207031,322.799987792969,324.049987792969,2779564,290.482391357422
"87",325,326.899993896484,320.649993896484,321.75,2987922,288.420684814453
"88",323,324.950012207031,318.100006103516,319.549987792969,3185014,286.448547363281
"89",320.600006103516,325.25,319.5,323.75,2208433,290.213470458984
"90",323.700012207031,331.450012207031,321.200012207031,329.049987792969,3103900,294.964416503906
