"","LT.NS.Open","LT.NS.High","LT.NS.Low","LT.NS.Close","LT.NS.Volume","LT.NS.Adjusted"
"1",1261,1274,1255.90002441406,1260.69995117188,2048058,1128.9599609375
"2",1267,1269.90002441406,1242.84997558594,1249.75,1512324,1119.15405273438
"3",1255.90002441406,1283.94995117188,1251.5,1275.30004882812,2720736,1142.03430175781
"4",1284.94995117188,1320,1280.09997558594,1315.69995117188,4546456,1178.21252441406
"5",1325,1328.94995117188,1308,1314.90002441406,2418902,1177.49609375
"6",1316.5,1345.94995117188,1316.5,1338.25,3513256,1198.40612792969
"7",1340,1343,1326.40002441406,1332.75,1703294,1193.48107910156
"8",1332.19995117188,1336.5,1317.65002441406,1323.75,1098019,1185.42138671875
"9",1320.19995117188,1326.80004882812,1313.05004882812,1323.55004882812,1232290,1185.24230957031
"10",1325.5,1332.30004882812,1309.75,1329.15002441406,1825056,1190.25720214844
"11",1334.84997558594,1351.19995117188,1323.59997558594,1325.94995117188,2386631,1187.39135742188
"12",1331.05004882812,1339.65002441406,1323.34997558594,1326.19995117188,3139385,1187.61547851562
"13",1323,1357,1320.25,1353.34997558594,2724814,1211.92822265625
"14",1360,1385,1350.44995117188,1360.80004882812,4966982,1218.59973144531
"15",1362,1378.65002441406,1353.5,1371.44995117188,2127776,1228.13684082031
"16",1289.19995117188,1403.65002441406,1289.19995117188,1398.84997558594,3067658,1252.67370605469
"17",1406,1415,1393.09997558594,1410.69995117188,4804202,1263.28527832031
"18",1407.09997558594,1409.80004882812,1389.80004882812,1401.19995117188,2147973,1254.77783203125
"19",1392,1427.05004882812,1392,1416.5,6113475,1268.47924804688
"20",1418,1441.65002441406,1418,1431.94995117188,2945415,1282.31457519531
"21",1429.94995117188,1436.69995117188,1406.75,1429.90002441406,1988140,1280.47912597656
"22",1431.90002441406,1439.69995117188,1412,1416.5,2614515,1268.47924804688
"23",1458.90002441406,1470,1405.19995117188,1455.59997558594,8187730,1303.49328613281
"24",1448,1448,1410.05004882812,1415.44995117188,3621563,1267.53869628906
"25",1380,1400,1355.09997558594,1363.65002441406,3060688,1221.15185546875
"26",1319.94995117188,1372.34997558594,1294.25,1353.05004882812,4230633,1211.65966796875
"27",1370,1370,1330,1333.75,2927403,1194.37622070312
"28",1345,1359.5,1333,1347.40002441406,1932082,1206.59997558594
"29",1324.80004882812,1343,1318.09997558594,1329.25,2029257,1190.34655761719
"30",1334.55004882812,1355,1334.55004882812,1350.5,1543603,1209.37622070312
"31",1354.69995117188,1372.5,1345.59997558594,1361.19995117188,2310144,1218.95776367188
"32",1364.40002441406,1370,1346.40002441406,1350.34997558594,1861841,1209.24169921875
"33",1358,1364,1320.44995117188,1328.40002441406,1424576,1189.58557128906
"34",1328,1330.94995117188,1287,1295.5,4275673,1160.12341308594
"35",1300,1309.59997558594,1287.25,1290.59997558594,2063972,1155.7353515625
"36",1299,1299.59997558594,1279,1282.80004882812,1584305,1148.75061035156
"37",1278,1298,1276,1292,3028574,1156.98901367188
"38",1292.59997558594,1305,1280.40002441406,1301.69995117188,2176017,1165.67553710938
"39",1306,1347.69995117188,1306,1344.25,2239306,1203.779296875
"40",1347.5,1355.80004882812,1331.30004882812,1338.09997558594,2243499,1198.27185058594
"41",1328,1331.59997558594,1310.59997558594,1318.15002441406,2439968,1180.40661621094
"42",1319,1332.90002441406,1313.09997558594,1315.19995117188,1927606,1177.76477050781
"43",1312.69995117188,1312.69995117188,1297.94995117188,1300.69995117188,1302005,1164.77978515625
"44",1308.69995117188,1318.90002441406,1275,1283.40002441406,2381856,1149.28771972656
"45",1284,1293.90002441406,1260,1263.30004882812,2156582,1131.28833007812
"46",1271.90002441406,1289.80004882812,1259.25,1283.80004882812,3588828,1149.64587402344
"47",1285.19995117188,1296.05004882812,1280,1290.5,2508919,1155.64575195312
"48",1300,1312,1297,1310.05004882812,2267260,1173.15295410156
"49",1311.40002441406,1322.94995117188,1294.05004882812,1302.75,1915199,1166.61584472656
"50",1303,1313,1292,1303.25,1714051,1167.0634765625
"51",1304.90002441406,1309.59997558594,1292.09997558594,1295.09997558594,1178352,1159.76513671875
"52",1299.90002441406,1303.90002441406,1260.40002441406,1269.30004882812,5152611,1136.6611328125
"53",1280,1292,1265.84997558594,1279.55004882812,4452882,1145.84008789062
"54",1275,1300,1275,1293.5,2831066,1158.33239746094
"55",1295,1313.59997558594,1295,1309.34997558594,2835466,1172.52624511719
"56",1314.80004882812,1321.40002441406,1289,1296.25,1834024,1160.79516601562
"57",1278.59997558594,1283.30004882812,1261.5,1267.90002441406,2280525,1135.40771484375
"58",1268,1300.09997558594,1268,1297.40002441406,1697069,1161.82495117188
"59",1307,1314,1301,1307.55004882812,2003736,1170.91418457031
"60",1301.09997558594,1325,1292.40002441406,1310.90002441406,3989865,1173.9140625
"61",1313,1339.5,1312.05004882812,1335.94995117188,1302024,1196.34643554688
"62",1332.75,1339,1318.05004882812,1330.40002441406,1123582,1191.37634277344
"63",1331,1332.69995117188,1290.19995117188,1296.15002441406,1285513,1160.70556640625
"64",1314,1335.05004882812,1311,1328.80004882812,1758313,1189.94372558594
"65",1305.19995117188,1323,1305.19995117188,1316.55004882812,1492796,1178.9736328125
"66",1318,1333,1317.84997558594,1327.90002441406,1118116,1189.1376953125
"67",1328,1355.44995117188,1328,1349.90002441406,2177789,1208.83862304688
"68",1358.40002441406,1359.40002441406,1340,1352.75,1536552,1211.39074707031
"69",1356.30004882812,1361.40002441406,1345.55004882812,1357.44995117188,1695410,1215.59997558594
"70",1362,1364.34997558594,1340.59997558594,1354.84997558594,1320241,1213.271484375
"71",1347.90002441406,1372,1346.15002441406,1368.09997558594,1304778,1225.13684082031
"72",1370.5,1377.90002441406,1355.19995117188,1359.55004882812,1058589,1217.48046875
"73",1363.09997558594,1371.44995117188,1351,1360.09997558594,1459202,1217.97302246094
"74",1365.09997558594,1388.09997558594,1361.80004882812,1385,2229317,1240.27099609375
"75",1385,1385,1359,1365.05004882812,1091415,1222.40576171875
"76",1370,1378,1355.5,1360,1364935,1217.88330078125
"77",1355.69995117188,1382.19995117188,1352,1378,1002866,1234.00231933594
"78",1375.90002441406,1376.75,1356.94995117188,1362.90002441406,1536003,1220.48022460938
"79",1365.5,1366.25,1330.09997558594,1347.19995117188,4513014,1206.4208984375
"80",1353.5,1383,1353.5,1377.75,1746280,1233.77844238281
"81",1381.30004882812,1405,1381.30004882812,1400.90002441406,1309980,1254.50939941406
"82",1420,1423.75,1390.09997558594,1403.15002441406,3975516,1256.52404785156
"83",1405.69995117188,1406.55004882812,1374.59997558594,1377.75,1278892,1233.77844238281
"84",1380,1386.75,1362,1368.69995117188,1274703,1225.67407226562
"85",1374,1393.90002441406,1366.30004882812,1389.15002441406,1250082,1243.98718261719
"86",1391.30004882812,1393,1356.15002441406,1364.90002441406,1604486,1222.27111816406
"87",1362.19995117188,1382.59997558594,1361.25,1375.65002441406,1270004,1231.89794921875
"88",1380.09997558594,1385.19995117188,1355.15002441406,1362.19995117188,1262157,1219.85327148438
"89",1367.5,1389.5,1364.30004882812,1387.40002441406,1033691,1242.42004394531
"90",1381.55004882812,1399,1377,1381.75,1265158,1237.3603515625
"91",1381,1403,1368.90002441406,1374.19995117188,1824434,1230.59936523438
"92",1364.90002441406,1374.05004882812,1358.69995117188,1362.34997558594,1491335,1219.98767089844
"93",1368,1375,1350,1355.94995117188,1833028,1214.25646972656
"94",1350,1360.59997558594,1312,1315.55004882812,2070654,1178.07824707031
"95",1311,1336.84997558594,1311,1313.25,2047129,1176.0185546875
"96",1317.90002441406,1340.90002441406,1316.09997558594,1320.15002441406,1375132,1182.19750976562
"97",1317,1350,1315,1326.90002441406,1851368,1188.2421875
"98",1336,1347.5,1326.40002441406,1338.05004882812,1482329,1198.22692871094
"99",1340.94995117188,1347.59997558594,1331.75,1342,1696915,1201.76416015625
"100",1346,1384.94995117188,1344.09997558594,1376.44995117188,2127978,1232.6142578125
"101",1393.69995117188,1424.94995117188,1375.40002441406,1380.59997558594,6814062,1236.33068847656
"102",1380,1380,1357.15002441406,1365.65002441406,2286366,1222.94287109375
"103",1370.94995117188,1377.44995117188,1356,1370.40002441406,2930988,1227.19653320312
"104",1375.80004882812,1396,1362.59997558594,1372.40002441406,2234018,1228.9873046875
"105",1375.94995117188,1385,1354,1357.84997558594,1346919,1215.95776367188
"106",1361.80004882812,1361.80004882812,1326.59997558594,1333.75,1905926,1194.37622070312
"107",1331,1355,1331,1350.55004882812,1581905,1209.4208984375
"108",1360.40002441406,1366,1348.94995117188,1355.15002441406,2272271,1213.5400390625
"109",1349.05004882812,1355,1331.09997558594,1343.94995117188,2483519,1203.51062011719
"110",1343,1355,1337,1343.25,1417401,1202.88354492188
"111",1348,1368.44995117188,1344.59997558594,1366.40002441406,1853562,1223.61450195312
"112",1366.80004882812,1368.25,1353,1358.75,1253808,1216.76403808594
"113",1354,1359.44995117188,1340,1343,1325652,1202.65979003906
"114",1341,1343,1323.25,1329.90002441406,2660969,1190.92858886719
"115",1331.25,1337.40002441406,1321.05004882812,1323.19995117188,951701,1184.92846679688
"116",1318.84997558594,1327.5,1307.05004882812,1310.40002441406,1607343,1173.46643066406
"117",1311.05004882812,1319.19995117188,1300,1306.75,2207289,1170.19775390625
"118",1310,1316,1286,1289.80004882812,2161971,1155.01904296875
"119",1288.69995117188,1305,1283.5,1299.84997558594,3364048,1164.01867675781
"120",1301,1303.75,1264.25,1268.15002441406,1622133,1135.63134765625
