"","LTIM.NS.Open","LTIM.NS.High","LTIM.NS.Low","LTIM.NS.Close","LTIM.NS.Volume","LTIM.NS.Adjusted"
"1",1109,1159.90002441406,1109,1145.40002441406,46400,1040.24682617188
"2",1145,1229.80004882812,1140,1149,262890,1043.51599121094
"3",1153,1166.94995117188,1117.30004882812,1124.80004882812,61374,1021.53778076172
"4",1127.5,1166,1123.19995117188,1130.55004882812,67098,1026.75988769531
"5",1145,1150,1100,1108.5,63795,1006.73419189453
"6",1138.75,1138.75,1110,1118.05004882812,43365,1015.40777587891
"7",1110,1133.80004882812,1104.75,1109.05004882812,49921,1007.23394775391
"8",1106.59997558594,1134.94995117188,1102.55004882812,1112.90002441406,80716,1010.73034667969
"9",1100.90002441406,1128,1100.90002441406,1118.09997558594,36337,1015.453125
"10",1126.94995117188,1130,1113.44995117188,1124.65002441406,33635,1021.40191650391
"11",1117,1134,1117,1122.25,27402,1019.22204589844
"12",1122.59997558594,1129.5,1090,1095.05004882812,31695,994.519348144531
"13",1106.69995117188,1125.5,1097.34997558594,1115.90002441406,45129,1013.45495605469
"14",1125,1130,1081.19995117188,1091.09997558594,28832,990.931884765625
"15",1099,1127.5,1075.05004882812,1118.40002441406,184208,1015.72546386719
"16",1125.94995117188,1140,1107,1125.09997558594,53146,1021.81036376953
"17",1139,1180,1138.94995117188,1166.40002441406,96641,1059.31909179688
"18",1175,1275,1171,1200.19995117188,517082,1090.01574707031
"19",1260,1269.5,1201.09997558594,1227.84997558594,336787,1115.12756347656
"20",1238.84997558594,1304.84997558594,1217.15002441406,1280,441609,1162.48962402344
"21",1276,1407,1260.09997558594,1331.25,432668,1209.03466796875
"22",1319,1371.55004882812,1260,1272.75,188545,1155.90539550781
"23",1297,1333.30004882812,1280.09997558594,1300.55004882812,230150,1181.15319824219
"24",1283.59997558594,1298.44995117188,1225,1249.05004882812,85911,1134.38110351562
"25",1201,1300,1160,1260.55004882812,144602,1144.82543945312
"26",1200,1260.55004882812,1155,1176.90002441406,158668,1068.85473632812
"27",1214.90002441406,1300,1211.30004882812,1295.25,166514,1176.33972167969
"28",1296,1419.90002441406,1272.59997558594,1386.84997558594,377312,1259.53051757812
"29",1342,1418.40002441406,1342,1388.40002441406,176757,1260.93823242188
"30",1380,1474.94995117188,1379.90002441406,1435.5,440464,1303.71435546875
"31",1453.90002441406,1514.09997558594,1422.40002441406,1502.75,406797,1364.79040527344
"32",1501,1542,1460,1490.69995117188,269416,1353.8466796875
"33",1486,1522,1452.55004882812,1472.44995117188,93047,1337.27209472656
"34",1476,1489.94995117188,1378,1402.59997558594,110906,1273.83435058594
"35",1408.75,1454.69995117188,1391,1432.30004882812,196607,1300.80786132812
"36",1432.90002441406,1504.40002441406,1432.90002441406,1491.40002441406,243551,1354.48229980469
"37",1487.84997558594,1548.80004882812,1411,1437.25,424460,1305.3037109375
"38",1442,1487,1426.25,1450.69995117188,403104,1317.5185546875
"39",1457,1478,1427,1436.25,109155,1304.3955078125
"40",1440.05004882812,1453.69995117188,1406.65002441406,1421,107391,1290.54528808594
"41",1400,1462.19995117188,1372.09997558594,1440.09997558594,224064,1307.89184570312
"42",1460,1479.19995117188,1391.30004882812,1406.25,337260,1277.1494140625
"43",1399.5,1422.69995117188,1377.30004882812,1395.34997558594,169761,1267.25
"44",1404,1418,1370.59997558594,1376.90002441406,163373,1250.49377441406
"45",1364,1408.80004882812,1360,1376.5,229501,1250.13073730469
"46",1397,1421.94995117188,1381.19995117188,1402.25,326281,1273.51635742188
"47",1398.40002441406,1413.80004882812,1347.15002441406,1353.65002441406,203990,1229.37829589844
"48",1378,1403.94995117188,1365.59997558594,1381.65002441406,244834,1254.80810546875
"49",1387,1431.55004882812,1381.05004882812,1406.94995117188,374124,1277.78540039062
"50",1398.19995117188,1399,1347,1359.84997558594,143616,1235.00903320312
"51",1360,1372.44995117188,1327,1332.05004882812,99115,1209.76135253906
"52",1346.40002441406,1362,1315.69995117188,1322.44995117188,443812,1201.04272460938
"53",1338,1338.30004882812,1281.09997558594,1290.19995117188,88547,1171.75329589844
"54",1280.05004882812,1339,1271.5,1335.30004882812,267396,1212.71276855469
"55",1349.90002441406,1360,1328,1354.90002441406,108793,1230.51342773438
"56",1364,1365.90002441406,1333,1345.94995117188,155101,1222.38525390625
"57",1330,1360.19995117188,1304,1349.25,107805,1225.38244628906
"58",1363.59997558594,1363.59997558594,1330,1339.65002441406,63644,1216.66369628906
"59",1347.90002441406,1352.40002441406,1332.05004882812,1339.5,173783,1216.52746582031
"60",1335.55004882812,1366.5,1335,1340.69995117188,203654,1217.61706542969
"61",1335,1425,1335,1414.94995117188,137754,1285.05078125
"62",1411,1479.94995117188,1395.5,1417.25,395538,1287.13952636719
"63",1408,1449.90002441406,1399.15002441406,1414.75,204859,1284.869140625
"64",1424.65002441406,1440,1375.5,1394,131858,1266.02416992188
"65",1377,1438.80004882812,1377,1399.19995117188,206358,1270.74658203125
"66",1401,1415,1395,1400.90002441406,107745,1272.29077148438
"67",1401.09997558594,1435.90002441406,1386.59997558594,1400.84997558594,178287,1272.2451171875
"68",1407.84997558594,1416.94995117188,1390,1396.65002441406,69400,1268.43115234375
"69",1393,1421,1391.19995117188,1394.80004882812,137611,1266.75073242188
"70",1395,1409,1391,1397.75,124208,1269.4296875
"71",1384,1419,1381.09997558594,1392.75,89575,1264.88854980469
"72",1392.80004882812,1445.44995117188,1382.59997558594,1386.75,184551,1259.43969726562
"73",1396,1409.15002441406,1378,1385.75,128855,1258.53137207031
"74",1388.25,1400,1385,1392.15002441406,124603,1264.34375
"75",1390.15002441406,1424.90002441406,1389.90002441406,1399,1283427,1270.56506347656
