"","MPHASIS.NS.Open","MPHASIS.NS.High","MPHASIS.NS.Low","MPHASIS.NS.Close","MPHASIS.NS.Volume","MPHASIS.NS.Adjusted"
"1",729.400024414062,741.950012207031,724.049987792969,738.25,51609,626.322265625
"2",739.049987792969,739.900024414062,726.700012207031,734.650024414062,144476,623.268127441406
"3",738,738,718.5,720.049987792969,58527,610.881591796875
"4",724.950012207031,726.5,714,715.849975585938,189039,607.318298339844
"5",712.099975585938,720,707.200012207031,714,107123,605.748840332031
"6",710.900024414062,724.700012207031,710.900024414062,715.599975585938,170912,607.106262207031
"7",721.900024414062,725,708.349975585938,712.349975585938,149874,604.348999023438
"8",708.049987792969,718.700012207031,707.099975585938,710,598248,602.355346679688
"9",708,724,708,716.200012207031,415257,607.615417480469
"10",721,743.950012207031,721,728.599975585938,122207,618.135314941406
"11",733.950012207031,782.900024414062,730.75,748.900024414062,270088,635.357666015625
"12",752,759.799987792969,728.049987792969,741.549987792969,255128,629.122009277344
"13",745.599975585938,778.349975585938,745,762.099975585938,288810,646.556335449219
"14",766.950012207031,812,763.549987792969,794.349975585938,494354,673.916809082031
"15",795,800.549987792969,762,789.549987792969,215672,669.844543457031
"16",795,812.900024414062,788.700012207031,802,166055,680.407043457031
"17",806,806,790.5,796.200012207031,104886,675.486389160156
"18",795,857.5,793,802.549987792969,526658,680.873596191406
"19",813,839.200012207031,795,823.799987792969,551311,698.90185546875
"20",830.599975585938,925,830.5,879.75,1269227,746.369079589844
"21",870,915,860.099975585938,883.349975585938,1271233,749.423400878906
"22",888.400024414062,912,884,894.849975585938,526609,759.1796875
"23",909.849975585938,909.849975585938,862.900024414062,879.650024414062,254028,746.284362792969
"24",874.799987792969,892,844.400024414062,854.650024414062,204011,725.074584960938
"25",851.099975585938,871.900024414062,829,856.299987792969,179437,726.474487304688
"26",845,860.549987792969,829.150024414062,845.349975585938,234511,717.1845703125
"27",857.950012207031,881.5,812.099975585938,833.450012207031,294347,707.088806152344
"28",838.950012207031,884,830.200012207031,872.049987792969,337605,739.836547851562
"29",855.599975585938,906.950012207031,851.349975585938,897.599975585938,369172,761.512878417969
"30",907.950012207031,934,842.5,857.700012207031,479338,727.662231445312
"31",872.950012207031,909.900024414062,863.5,890.799987792969,415416,755.743835449219
"32",896.849975585938,915.549987792969,871,879.200012207031,246637,745.902648925781
"33",885.799987792969,900.900024414062,854.599975585938,862.799987792969,115328,731.988952636719
"34",860.099975585938,872,835.349975585938,859.25,106386,728.977172851562
"35",869.549987792969,875.299987792969,860.150024414062,865.75,269422,734.49169921875
"36",880,909,874.150024414062,886.349975585938,348310,751.968444824219
"37",873.599975585938,918.5,873.200012207031,906.25,512204,768.851501464844
"38",913.049987792969,924.450012207031,899.349975585938,906.799987792969,336166,769.318115234375
"39",910.950012207031,913.599975585938,875.049987792969,884.25,242683,750.186889648438
"40",897.450012207031,899,866.099975585938,872.549987792969,289596,740.2607421875
"41",865,872,853.099975585938,859.700012207031,242947,729.359008789062
"42",867,867.849975585938,850.700012207031,854.849975585938,171263,725.244201660156
"43",854.849975585938,867,850.549987792969,858.349975585938,327119,728.213623046875
"44",864.900024414062,864.900024414062,842.049987792969,846.349975585938,283051,718.033020019531
"45",843.799987792969,857.950012207031,835,841.700012207031,415519,714.088012695312
"46",850,850.799987792969,824.450012207031,833.200012207031,165340,706.876647949219
"47",839.75,839.75,818.099975585938,825.099975585938,183187,700.004699707031
"48",830.799987792969,865,830.799987792969,856.849975585938,516985,726.941040039062
"49",861.400024414062,870.299987792969,845,849.799987792969,210714,720.959899902344
"50",850,874,850,866.150024414062,287717,734.831115722656
"51",864.799987792969,889.400024414062,861.900024414062,881.349975585938,211633,747.7265625
"52",884,894.650024414062,866.25,875.75,310010,742.975646972656
"53",873.650024414062,879.200012207031,852.5,855.599975585938,113904,725.880615234375
"54",850.799987792969,862.5,837,841.799987792969,157267,714.172729492188
"55",848.950012207031,865,847.349975585938,856.900024414062,194027,726.983459472656
"56",858.900024414062,866.900024414062,841.099975585938,844.950012207031,133785,716.845275878906
"57",834.900024414062,859.400024414062,831.349975585938,835.299987792969,692640,708.658264160156
"58",835.299987792969,841.5,821.5,828.700012207031,176200,703.058959960938
"59",827,836.849975585938,799,811.400024414062,414234,688.381896972656
"60",811.049987792969,845,806.700012207031,837.75,372896,710.736938476562
"61",839.849975585938,867.75,838,846.799987792969,228650,718.414794921875
"62",846.099975585938,854.950012207031,844.049987792969,851.900024414062,172165,722.741638183594
"63",862.700012207031,883.150024414062,852.049987792969,869.700012207031,405335,737.842895507812
"64",875,884,862.200012207031,869.700012207031,115422,737.842895507812
"65",877.849975585938,994.799987792969,873.75,917.150024414062,1572359,778.098999023438
"66",917.950012207031,921.049987792969,891,896.75,200731,760.791748046875
"67",903.950012207031,954,899.25,909.799987792969,587521,771.863159179688
"68",916.599975585938,926.849975585938,887.450012207031,898.700012207031,480502,762.446105957031
"69",899.700012207031,937,898.700012207031,925.900024414062,723196,785.522277832031
"70",928,932.849975585938,901.150024414062,906.75,286216,769.275573730469
"71",904.299987792969,910.299987792969,891,896.099975585938,206161,760.240234375
"72",904.75,916.950012207031,895.5,899.849975585938,353361,763.421691894531
"73",906.900024414062,911.450012207031,896.599975585938,898,467179,761.852233886719
"74",901.049987792969,909,880.349975585938,885.349975585938,331292,751.120056152344
"75",895,918,895,903.900024414062,1087863,766.857788085938
"76",909.799987792969,944.75,908.950012207031,931.799987792969,542992,790.527709960938
"77",943.299987792969,1015,930.75,982.200012207031,534463,833.286376953125
"78",980,1029.90002441406,971.150024414062,1001.20001220703,631627,849.405883789062
"79",1013.29998779297,1018,988,997.299987792969,409278,846.097106933594
"80",995,1018,970,1008.75,227359,855.811218261719
"81",1005,1060,990.049987792969,1036.34997558594,361983,879.226745605469
"82",1044,1045.30004882812,995.849975585938,1003.54998779297,365247,851.399597167969
"83",999.450012207031,1025.15002441406,977,986.5,377088,836.9345703125
"84",987.450012207031,1008,971.200012207031,975.150024414062,218806,827.305419921875
"85",980.049987792969,998.950012207031,961.049987792969,992.299987792969,109394,841.855163574219
"86",996,1009,963.150024414062,969.549987792969,297167,822.554321289062
"87",969.549987792969,1008,969.549987792969,989.700012207031,450417,839.649353027344
"88",994.5,1025,982.049987792969,995.900024414062,574659,844.909362792969
"89",1009,1123.80004882812,965.5,988,2713494,838.207153320312
"90",970,1032,960,983.549987792969,18045827,834.431823730469
"91",997,1094.69995117188,990,1077.5,1634890,914.137817382812
"92",1079.5,1130,1070.05004882812,1098.25,1488234,931.741882324219
"93",1103.75,1144.80004882812,1100.19995117188,1129.25,1018984,958.041870117188
"94",1126,1149.90002441406,1097.15002441406,1126.80004882812,670936,955.963317871094
"95",1129.40002441406,1129.90002441406,1068.15002441406,1082.5,398522,918.379760742188
"96",1082.55004882812,1092.90002441406,1030,1063.09997558594,246467,901.921020507812
"97",1071,1087,1053.94995117188,1080.80004882812,377799,916.9375
"98",1079.30004882812,1108,1065,1096.55004882812,348651,930.299743652344
"99",1096.55004882812,1139.90002441406,1096.55004882812,1118,396045,948.49755859375
"100",1123.40002441406,1125,1033.25,1060.25,405630,899.503112792969
"101",1068.34997558594,1075,1025,1035.75,410042,878.717590332031
"102",1038.5,1066.90002441406,1033.80004882812,1058.80004882812,322757,898.273010253906
"103",1065,1110.05004882812,1037,1101.09997558594,428399,934.159729003906
"104",1096.90002441406,1096.90002441406,1045,1057.65002441406,297314,897.297424316406
"105",1060,1074.5,995,1023.84997558594,341355,868.621765136719
"106",1035,1057.19995117188,1030,1037,307539,879.778076171875
"107",1044,1073,1029.55004882812,1058.65002441406,343905,898.145812988281
"108",1069.94995117188,1081.15002441406,1046,1063.84997558594,260962,902.557373046875
"109",1049.69995117188,1123.80004882812,1047,1111.5,368310,942.983032226562
"110",1125,1140,1102.69995117188,1126.5,350686,955.708923339844
"111",1124.90002441406,1136,1112.84997558594,1126.19995117188,272366,955.454284667969
"112",1125.80004882812,1125.80004882812,1105,1113.65002441406,98792,944.806945800781
"113",1113.84997558594,1122.90002441406,1093.59997558594,1105.94995117188,363833,938.274475097656
"114",1102,1108.75,1055.55004882812,1071.55004882812,366294,909.089965820312
"115",1068.90002441406,1121,1060.05004882812,1097.90002441406,470948,931.444946289062
"116",1096.94995117188,1118.80004882812,1071,1078.75,349446,915.198303222656
"117",1085.05004882812,1099,1051.59997558594,1060.55004882812,122942,899.757629394531
"118",1060.94995117188,1115.75,1060.94995117188,1097.59997558594,748884,931.190368652344
"119",1099.69995117188,1120,1090.34997558594,1099.09997558594,364897,932.463073730469
