"","PIDILITIND.NS.Open","PIDILITIND.NS.High","PIDILITIND.NS.Low","PIDILITIND.NS.Close","PIDILITIND.NS.Volume","PIDILITIND.NS.Adjusted"
"1",904.950012207031,908.799987792969,898,900,160477,866.97265625
"2",901,904.900024414062,877,889.200012207031,644893,856.568908691406
"3",889.799987792969,915.5,889,913.950012207031,552174,880.410583496094
"4",917.5,919,904,905.599975585938,454449,872.367065429688
"5",905.599975585938,913.950012207031,904,910.200012207031,416415,876.798278808594
"6",911.099975585938,916,907.5,912.150024414062,211898,878.676818847656
"7",912.900024414062,922.900024414062,906.25,914.849975585938,542843,881.277587890625
"8",915.099975585938,922.849975585938,909.099975585938,911.75,449965,878.291381835938
"9",901.5,912,896.599975585938,899.549987792969,434606,866.539123535156
"10",902.599975585938,921.150024414062,885.049987792969,910.099975585938,669862,876.701965332031
"11",911.900024414062,916,902.200012207031,904.650024414062,345609,871.451904296875
"12",903,909.400024414062,885.299987792969,900.25,475519,867.21337890625
"13",896,901.700012207031,888,896.5,549893,863.601135253906
"14",900,902.900024414062,888.400024414062,893.200012207031,274737,860.422180175781
"15",893,898,888,890.349975585938,185507,857.676818847656
"16",891.049987792969,904.75,886.599975585938,895,428801,862.156127929688
"17",900,903.25,882.299987792969,886.349975585938,509131,853.823486328125
"18",886.349975585938,886.349975585938,870.049987792969,876.049987792969,362815,843.901550292969
"19",891.5,899.450012207031,875,877.25,880864,845.057495117188
"20",880.099975585938,897.400024414062,880.099975585938,893.599975585938,601009,860.807373046875
"21",893.650024414062,895,884.75,885.950012207031,234709,853.438293457031
"22",881.25,898.5,881.25,896.299987792969,709011,863.408447265625
"23",894,909,872.200012207031,899,970796,866.009399414062
"24",896.200012207031,896.200012207031,857.349975585938,862.799987792969,792986,831.1376953125
"25",850,879,848.599975585938,875.200012207031,524002,843.082824707031
"26",863,871.349975585938,845.049987792969,866.5,502411,834.702026367188
"27",874.900024414062,878.900024414062,862.099975585938,865.150024414062,230391,833.401611328125
"28",875.099975585938,892.799987792969,867.400024414062,884.900024414062,836120,852.426696777344
"29",867.900024414062,885,865,878.200012207031,486696,845.972717285156
"30",880,900,874.099975585938,894.5,926463,861.674438476562
"31",900,906,890,894.849975585938,652522,862.011474609375
"32",899.799987792969,902.950012207031,884.25,888.299987792969,247512,855.702026367188
"33",890,897,878.599975585938,891.650024414062,891469,858.929077148438
"34",897,898.799987792969,885,896.099975585938,336893,863.215759277344
"35",897.650024414062,899.5,888.75,894.200012207031,174558,861.385437011719
"36",895.099975585938,910.349975585938,887.099975585938,903.150024414062,739323,870.007019042969
"37",904,905.75,882.700012207031,885.5,512762,853.004760742188
"38",885,906.900024414062,880.349975585938,900.700012207031,901633,867.646911621094
"39",899.599975585938,903.700012207031,888.799987792969,891.5,628820,858.784606933594
"40",892.049987792969,897.349975585938,883.25,885.799987792969,475548,853.293701171875
"41",882.25,908.799987792969,875,900.950012207031,1120499,867.887756347656
"42",898.799987792969,901.450012207031,892.25,894.400024414062,122382,861.578063964844
"43",894.5,896,882,889.950012207031,189643,857.291442871094
"44",890,896,877.700012207031,882.049987792969,296228,849.681274414062
"45",882,884,868.049987792969,871.299987792969,286307,839.325805664062
"46",876.450012207031,880,858.349975585938,872.25,398428,840.240966796875
"47",875,883.200012207031,871.25,878.700012207031,238316,846.454284667969
"48",885.700012207031,895,881.849975585938,890.25,520945,857.580383300781
"49",887.400024414062,905.75,886.099975585938,899.849975585938,394375,866.828186035156
"50",899.700012207031,910.75,897.200012207031,906.25,453808,872.993225097656
"51",908.25,917.450012207031,900.549987792969,909.549987792969,435607,876.172058105469
"52",909.950012207031,924,909,916.299987792969,732530,882.674438476562
"53",922,922.849975585938,902.400024414062,907.650024414062,235720,874.341918945312
"54",905.700012207031,909.799987792969,899,902.700012207031,240585,869.573486328125
"55",902.700012207031,914.900024414062,898.299987792969,902.349975585938,535727,869.236328125
"56",904.700012207031,910.599975585938,901.75,908.099975585938,535576,874.775329589844
"57",903,906,892.25,902.200012207031,491815,869.091857910156
"58",902.200012207031,913.75,901.549987792969,907.349975585938,530753,874.052917480469
"59",913,933,910,926.299987792969,891006,892.307556152344
"60",924.400024414062,934.900024414062,910.25,917.799987792969,1084639,884.119384765625
