"","SIEMENS.NS.Open","SIEMENS.NS.High","SIEMENS.NS.Low","SIEMENS.NS.Close","SIEMENS.NS.Volume","SIEMENS.NS.Adjusted"
"1",1235.09997558594,1253.09997558594,1232.5,1238.19995117188,92957,1191.46899414062
"2",1241.80004882812,1268,1227.30004882812,1258.90002441406,242710,1211.38806152344
"3",1259.05004882812,1272.69995117188,1247.65002441406,1258.15002441406,138470,1210.66638183594
"4",1260.09997558594,1281.40002441406,1260.09997558594,1277.05004882812,176736,1228.85327148438
"5",1278,1289.69995117188,1270,1286.69995117188,178651,1238.138671875
"6",1287.09997558594,1306.34997558594,1287.09997558594,1293.44995117188,353682,1244.63391113281
"7",1315,1315,1291.19995117188,1301.69995117188,290486,1252.57275390625
"8",1301.69995117188,1305.15002441406,1286.25,1299.75,159917,1250.69616699219
"9",1294,1299.80004882812,1279.5,1294.59997558594,150993,1245.74060058594
"10",1300,1329,1286.25,1321.5,364859,1271.62548828125
"11",1325,1329,1300,1305.15002441406,130802,1255.89245605469
"12",1301.15002441406,1308.25,1274.44995117188,1291.55004882812,212742,1242.80578613281
"13",1291.5,1327,1265.09997558594,1315.05004882812,233756,1265.41870117188
"14",1314,1317.5,1281.69995117188,1297.40002441406,140535,1248.43493652344
"15",1297.40002441406,1311.05004882812,1258.5,1299.34997558594,240579,1250.31127929688
"16",1290,1322,1288.55004882812,1319.19995117188,228818,1269.41198730469
"17",1326,1332,1312,1319.80004882812,148682,1269.98962402344
"18",1314,1329.80004882812,1301.75,1304.05004882812,252585,1254.83410644531
"19",1303,1322,1291.44995117188,1296.09997558594,222736,1253.91479492188
"20",1296.09997558594,1309.19995117188,1278,1288.05004882812,113041,1246.12707519531
"21",1287,1299.94995117188,1263.30004882812,1289.25,177143,1247.28796386719
"22",1289.80004882812,1331.30004882812,1278.05004882812,1301.84997558594,518457,1259.4775390625
"23",1303,1336,1265.30004882812,1323.75,305415,1280.66491699219
"24",1320.05004882812,1323.34997558594,1280,1292.84997558594,251785,1250.7705078125
"25",1273,1286,1257.94995117188,1269,199908,1227.69677734375
"26",1230,1269,1204,1256,456680,1215.11999511719
"27",1260,1278.75,1210,1217.30004882812,215149,1177.6796875
"28",1219,1248.65002441406,1215,1226,202974,1186.09655761719
"29",1210,1239.80004882812,1209.94995117188,1229.40002441406,155707,1189.3857421875
"30",1237.94995117188,1260.40002441406,1234.30004882812,1255.5,124117,1214.63635253906
"31",1257.09997558594,1282.19995117188,1257.09997558594,1275.5,190815,1233.9853515625
"32",1279.94995117188,1295,1252.5,1259,138350,1218.02233886719
"33",1261,1279.84997558594,1236.09997558594,1267.59997558594,246916,1226.34252929688
"34",1265.09997558594,1275.40002441406,1237.59997558594,1243.55004882812,120242,1203.0751953125
"35",1240,1260.80004882812,1237.25,1242.25,105423,1201.81750488281
"36",1252.44995117188,1257.5,1230.09997558594,1244.19995117188,108583,1203.70397949219
"37",1242,1259.75,1187.55004882812,1193.19995117188,532075,1154.36364746094
"38",1173.19995117188,1189.5,1158.15002441406,1172.09997558594,449737,1133.95080566406
"39",1175,1180.90002441406,1168.05004882812,1171.65002441406,200669,1133.51538085938
"40",1174.94995117188,1181.55004882812,1151.65002441406,1164.05004882812,172035,1126.16284179688
"41",1151.5,1175,1144.80004882812,1167.90002441406,189741,1129.88745117188
"42",1175.65002441406,1178,1150,1153.15002441406,111727,1115.61743164062
"43",1153,1159,1136,1142.25,98750,1105.07238769531
"44",1156.5,1156.84997558594,1121,1128.75,240773,1092.01184082031
"45",1126,1129,1087.75,1092.55004882812,253674,1056.98986816406
"46",1095.09997558594,1108.5,1080,1102.09997558594,130886,1066.22900390625
"47",1104,1136.80004882812,1083.69995117188,1085.80004882812,286031,1050.45959472656
"48",1091.15002441406,1110,1087.30004882812,1106.84997558594,78009,1070.82446289062
"49",1123,1126.05004882812,1091.5,1118.94995117188,143431,1082.53051757812
"50",1110.80004882812,1134.30004882812,1110.05004882812,1129.19995117188,80298,1092.44702148438
"51",1129,1139.44995117188,1118.25,1132.59997558594,128463,1095.73620605469
"52",1123,1130.19995117188,1097,1105.09997558594,205258,1069.13146972656
"53",1113,1113,1079.05004882812,1090.5,84885,1055.00659179688
"54",1088.19995117188,1117.75,1083.5,1108.5,190944,1072.4208984375
"55",1111.25,1129.05004882812,1091.84997558594,1104.55004882812,200566,1068.59936523438
"56",1105,1111,1082.55004882812,1095.55004882812,171888,1059.89221191406
"57",1080,1100.05004882812,1078.5,1090.90002441406,134822,1055.3935546875
"58",1091,1111,1071,1103.09997558594,97755,1067.19653320312
"59",1110,1110,1087.19995117188,1091.5,114390,1055.97412109375
