"","TCS.NS.Open","TCS.NS.High","TCS.NS.Low","TCS.NS.Close","TCS.NS.Volume","TCS.NS.Adjusted"
"1",1341.15002441406,1347.40002441406,1317.5,1322.80004882812,1351760,1170.21362304688
"2",1330,1334.80004882812,1310.09997558594,1315.59997558594,1920290,1163.84350585938
"3",1316,1334.5,1315.59997558594,1319.32495117188,1257120,1167.13891601562
"4",1325,1331,1320,1328.55004882812,913082,1175.30017089844
"5",1325,1349.75,1325,1344.59997558594,1153706,1189.49877929688
"6",1350,1363.42504882812,1340.92504882812,1357.19995117188,1242220,1200.64501953125
"7",1357.5,1360.5,1338.27502441406,1354.5,2149396,1198.25646972656
"8",1355.5,1408,1347.32495117188,1403.30004882812,3365850,1241.42749023438
"9",1405,1410.94995117188,1391.09997558594,1395.25,2520744,1234.30603027344
"10",1402.5,1402.5,1370.27502441406,1388.17504882812,3360314,1228.046875
"11",1388.57495117188,1404,1367.52502441406,1373.05004882812,1457214,1214.66711425781
"12",1378,1430.82495117188,1375.27502441406,1425.42504882812,4267752,1261.00024414062
"13",1435,1462.5,1431.07495117188,1444.47497558594,4280806,1277.85278320312
"14",1448.5,1466.5,1434.02502441406,1459.09997558594,2209478,1290.79064941406
"15",1465.27502441406,1491,1451.82495117188,1479.65002441406,1820000,1308.97033691406
"16",1480.5,1567.34997558594,1461,1558.19995117188,4367110,1381.7275390625
"17",1557.47497558594,1571.17504882812,1545.02502441406,1551,3239610,1375.34350585938
"18",1545,1629.52502441406,1541.32495117188,1587.30004882812,5621538,1407.5322265625
"19",1587.5,1589.90002441406,1540.5,1560.52502441406,3833844,1383.78955078125
"20",1565.69995117188,1612.5,1561,1599.42504882812,3141060,1418.28405761719
"21",1590,1601.90002441406,1571.84997558594,1576.42504882812,1574758,1397.88879394531
"22",1568.5,1575,1549.30004882812,1556.17504882812,3043214,1379.93249511719
"23",1562,1595,1544.40002441406,1569.30004882812,2400630,1391.57092285156
"24",1560,1595,1551.72497558594,1576.82495117188,2456490,1398.2431640625
"25",1555,1594,1538.42504882812,1551.59997558594,2757742,1375.87536621094
"26",1505,1538.57495117188,1492.5,1498.625,2657306,1328.89978027344
"27",1513.5,1515.5,1473.72497558594,1477.52502441406,2180324,1310.18969726562
"28",1489.875,1513.80004882812,1479.5,1487.09997558594,2755004,1318.67993164062
"29",1475,1497,1448.32495117188,1485.84997558594,2102458,1317.57177734375
"30",1489.15002441406,1511.67504882812,1477.77502441406,1483.65002441406,1974562,1315.62133789062
"31",1485,1487.22497558594,1446.25,1455.90002441406,2847532,1291.01403808594
