"","TORNTPHARM.NS.Open","TORNTPHARM.NS.High","TORNTPHARM.NS.Low","TORNTPHARM.NS.Close","TORNTPHARM.NS.Volume","TORNTPHARM.NS.Adjusted"
"1",709.5,716.724975585938,685.049987792969,695.224975585938,141938,642.078674316406
"2",692,706.375,687.5,697.549987792969,151066,644.225891113281
"3",697.450012207031,703.950012207031,680.275024414062,689.275024414062,240528,636.583557128906
"4",693.5,699.375,685.724975585938,696.950012207031,125282,643.671813964844
"5",690.775024414062,714.5,690.775024414062,710.375,543214,656.070434570312
"6",706,721.275024414062,706,716.924987792969,419868,662.119812011719
"7",717.525024414062,719,700.75,705,56404,651.1064453125
"8",699.849975585938,715.349975585938,697.5,700.625,231662,647.065979003906
"9",700.049987792969,704.5,689.974975585938,690.924987792969,127484,638.107360839844
"10",697,702.150024414062,687.5,690.275024414062,283490,637.507141113281
"11",692.5,711.474975585938,692.5,708.150024414062,217018,654.015686035156
"12",705.5,709.474975585938,695.775024414062,700.400024414062,141410,646.858154296875
"13",700.025024414062,709.224975585938,694.650024414062,702.325012207031,83310,648.635925292969
"14",699.224975585938,724,699.224975585938,715.450012207031,331138,660.757568359375
"15",720.950012207031,722.474975585938,702.650024414062,715.25,169302,660.572875976562
"16",719,737.400024414062,711.049987792969,725.674987792969,340834,670.200866699219
"17",728,732.5,717.775024414062,721.5,310066,666.345031738281
"18",717,733.650024414062,716.799987792969,726.349975585938,365244,670.824279785156
"19",718.5,730.5,702.75,710.700012207031,497456,656.37060546875
"20",710.025024414062,713.674987792969,683.549987792969,689.174987792969,623694,636.491027832031
"21",687,687,673.5,678.299987792969,348016,626.447509765625
"22",679,684.974975585938,670,681.200012207031,230316,629.125854492188
"23",684.974975585938,687.450012207031,672.5,677.450012207031,577434,625.662475585938
"24",676.450012207031,692.5,665,679.174987792969,178158,627.255554199219
"25",660.025024414062,699.224975585938,660,671.174987792969,329354,619.867126464844
"26",645,670,635.775024414062,666.875,199756,615.895874023438
"27",665.25,697,658.400024414062,687.875,216538,635.290405273438
"28",687.875,702.150024414062,678.025024414062,690.424987792969,312122,637.645629882812
"29",675.5,725,666.299987792969,717.174987792969,457674,662.350646972656
"30",717.174987792969,721.900024414062,704.275024414062,715.400024414062,173126,660.711364746094
"31",720.5,720.799987792969,708.224975585938,714.625,256476,659.99560546875
"32",716,717.525024414062,706,710.474975585938,136972,660.320922851562
"33",706,725,700.5,711.575012207031,736176,661.343322753906
"34",704.875,709.825012207031,688.5,696.599975585938,159718,647.42529296875
"35",697.5,699.974975585938,686.525024414062,691.974975585938,127432,643.126770019531
"36",688.5,691.5,672.325012207031,677,189040,629.208984375
"37",675.049987792969,679.974975585938,653.200012207031,661.099975585938,394614,614.431396484375
"38",661.5,677.625,660,668.275024414062,207630,621.099914550781
"39",672.5,678.674987792969,658.025024414062,672.275024414062,231080,624.817504882812
"40",678.5,692,667.974975585938,674.174987792969,267060,626.583435058594
"41",674,693,664.775024414062,684.325012207031,848576,636.016845703125
"42",680,681.5,658.549987792969,669.049987792969,884694,621.820190429688
"43",669,687.974975585938,655.224975585938,683.299987792969,939188,635.064270019531
"44",685,687.5,669.599975585938,672.974975585938,1082490,625.468017578125
"45",673.549987792969,675.950012207031,650.674987792969,664.700012207031,767094,617.777282714844
"46",669,672.974975585938,655,658.900024414062,579004,612.38671875
"47",662,666.5,655.025024414062,664.900024414062,745926,617.963134765625
"48",667.5,674,640.5,655.924987792969,974732,609.621704101562
"49",655,660.674987792969,648.025024414062,652.75,221800,606.670837402344
"50",649.5,658.224975585938,645,648.275024414062,259338,602.511901855469
"51",645.5,648.900024414062,635.325012207031,639.900024414062,376990,594.727905273438
"52",644.5,645,629.674987792969,634.224975585938,375562,589.453491210938
"53",632.5,640.075012207031,622.174987792969,630.825012207031,231576,586.293640136719
"54",628,632.5,624.400024414062,627.400024414062,203196,583.110473632812
"55",633.775024414062,634,617.375,619.349975585938,416816,575.628601074219
"56",620.599975585938,627.5,610.599975585938,623.900024414062,604596,579.857482910156
"57",623.5,628.950012207031,611.900024414062,625.400024414062,812070,581.251586914062
"58",621.5,632.25,621.5,627.049987792969,158876,582.785095214844
"59",630,638.549987792969,627.474975585938,629.849975585938,249448,585.387451171875
"60",622.025024414062,634.724975585938,617.5,624.875,454794,580.763671875
"61",624.900024414062,637.349975585938,621.799987792969,633.174987792969,65080,588.477661132812
"62",629,647.5,629,645.200012207031,143724,599.65380859375
"63",646.450012207031,653.724975585938,634,641.825012207031,212108,596.517150878906
"64",649.724975585938,667,646.224975585938,663.599975585938,268074,616.7548828125
"65",655.075012207031,672.25,649,662.599975585938,372554,615.825500488281
"66",664.549987792969,668.25,647.5,650.150024414062,1968530,604.25439453125
"67",654.875,658.5,648.224975585938,652.525024414062,474368,606.461853027344
"68",652.575012207031,665,652.575012207031,662.900024414062,474798,616.104431152344
"69",665.25,666.325012207031,652.575012207031,660.150024414062,298678,613.548522949219
"70",664.799987792969,669.549987792969,658.5,663.525024414062,233268,616.685241699219
"71",655,678.275024414062,655,673.75,151098,626.188415527344
"72",676.5,679.25,666.325012207031,669.375,101118,622.122131347656
"73",667.025024414062,680.775024414062,666.025024414062,676.775024414062,196610,628.999877929688
"74",679.974975585938,700.375,673.849975585938,699.075012207031,431946,649.725646972656
"75",690.025024414062,709,684.974975585938,700.125,783278,650.701477050781
"76",699.799987792969,707.224975585938,696.424987792969,700.5,289996,651.050109863281
"77",705.025024414062,723.974975585938,703.450012207031,709.200012207031,1365416,659.135925292969
"78",704.075012207031,709.549987792969,690.775024414062,700.625,373534,651.166320800781
"79",695.5,706.224975585938,690.75,697.849975585938,347402,648.586975097656
"80",703.450012207031,704.5,682.900024414062,692.125,157726,643.266235351562
"81",690,712.474975585938,688.525024414062,709.25,189518,659.182373046875
"82",711.25,715,684.275024414062,689.400024414062,303668,640.733642578125
"83",688.25,700,682.474975585938,689.75,228084,641.058898925781
